keyword,raw_vs_custom_furniture,related_queries_seen,furniture_share_of_related,adjusted_index,commercial_intent_queries,top_related
custom cabinets,1.0641,12,1.0,1.0641,4,custom cabinets near me | ikea custom cabinets | custom cabinets cost | semi custom cabinets | custom cabinets san diego
custom furniture,1.0,6,0.817,0.8172,2,custom furniture near me | custom office furniture | custom furniture covers | custom furniture online | custom furniture maker
custom closet,0.5482,15,1.0,0.5482,4,custom closets | custom closet design | custom closet door | custom closet cost | custom closet systems
custom bar,1.2616,6,0.367,0.4624,0,custom bar cabinet | custom bar sign | custom bar necklace | custom bar stools | custom bar mat
custom desk,0.6697,7,0.429,0.2875,0,custom desk top | custom desk mat | ikea custom desk | custom desk pad | custom desktop
custom sofa,0.5108,4,0.352,0.1797,0,custom sofa covers | custom sofa cushions | custom sofas | custom sofa los angeles
custom vanity,0.248,6,0.693,0.1719,0,custom vanity top | custom vanity cabinet | custom vanity mirror | custom vanity cabinets | custom vanity plates
custom coffee table,0.1406,1,1.0,0.1406,0,custom coffee table book
custom dining table,0.1405,1,1.0,0.1405,0,custom dining tables
custom bed frame,0.109,1,1.0,0.109,0,custom bed frames
custom bench,0.2156,6,0.297,0.0641,0,custom bench seat | custom bench cushion | custom bench cushions | custom cushions | bench cushions
custom headboard,0.0451,1,1.0,0.0451,0,custom headboards
custom wardrobe,0.0418,6,1.0,0.0418,0,custom wardrobe closet | custom closet | ikea | ikea wardrobe | ikea custom wardrobe
custom shelving,0.037,1,1.0,0.037,0,custom shelving units
custom kitchen island,0.0187,1,1.0,0.0187,0,custom kitchen islands
custom outdoor furniture,0.0415,2,0.0,0.0,0,custom outdoor furniture covers | custom outdoor furniture cushions
custom bookshelf,0.0606,0,,,0,
custom nightstand,0.041,0,,,0,
custom built ins,0.0036,0,,,0,
custom mantel,0.0029,0,,,0,
custom conference table,0.0013,0,,,0,
