year,through_month,ytd,county,fips,1_unit_units,1_unit_value_usd,2_units_units,2_units_value_usd,3_4_units_units,3_4_units_value_usd,5plus_units_units,5plus_units_value_usd,total_units
2015,12,True,Alameda,06001,1808,625249832,26,5993400,71,14608021,3012,442289589,4917
2016,12,True,Alameda,06001,2288,789299865,22,5704040,75,18522001,3365,562447705,5750
2017,12,True,Alameda,06001,2559,875016491,52,14409089,152,37440420,5873,1013169955,8636
2018,12,True,Alameda,06001,1968,683121393,56,14807254,209,58855995,6044,1374932959,8277
2019,12,True,Alameda,06001,1975,637025098,58,15140353,104,26096228,4467,850003652,6604
2020,12,True,Alameda,06001,1336,426040532,34,9516210,81,19700152,2791,740488940,4242
2021,12,True,Alameda,06001,1366,398623300,54,16568573,62,19238185,3541,832646564,5023
2022,12,True,Alameda,06001,1212,340740569,56,16201875,86,20601639,3463,646082814,4817
2023,12,True,Alameda,06001,973,312941796,42,10410167,38,11384274,1884,445070179,2937
2024,12,True,Alameda,06001,825,259248744,28,7897594,33,9248497,856,191181452,1742
2025,12,True,Alameda,06001,1117,440066266,40,7397199,17,3716390,1604,380232240,2778
2026,7,True,Alameda,06001,581,232688842,46,8615819,6,2222247,1192,219343637,1825
2015,12,True,Contra Costa,06013,2043,651337837,4,836818,14,3038117,506,79352617,2567
2016,12,True,Contra Costa,06013,1946,616040202,0,0,27,2678634,1054,155004285,3027
2017,12,True,Contra Costa,06013,1689,553299623,10,2229535,42,7023049,249,59224183,1990
2018,12,True,Contra Costa,06013,1641,592687057,10,1778774,21,5017009,1267,182448570,2939
2019,12,True,Contra Costa,06013,1521,480425429,12,3275131,0,0,1117,195804502,2650
2020,12,True,Contra Costa,06013,1561,465581568,4,1093236,10,1707512,1332,243699544,2907
2021,12,True,Contra Costa,06013,2203,568466523,114,9962747,0,0,1601,255524700,3918
2022,12,True,Contra Costa,06013,1397,393389426,8,1167676,14,3779740,334,85876612,1753
2023,12,True,Contra Costa,06013,1466,481834669,8,1246045,11,2145098,559,133204468,2044
2024,12,True,Contra Costa,06013,1256,419039693,4,1200000,13,1665828,896,209982114,2169
2025,12,True,Contra Costa,06013,1022,361665098,6,2550000,9,2854936,147,46959580,1184
2026,7,True,Contra Costa,06013,728,223851528,12,3432507,14,3272789,248,61505098,1002
2015,12,True,Marin,06041,207,100632217,2,165550,0,0,183,18034761,392
2016,12,True,Marin,06041,97,62209626,2,1979034,0,0,0,0,99
2017,12,True,Marin,06041,81,67447950,0,0,0,0,0,0,81
2018,12,True,Marin,06041,106,80287418,8,6125000,0,0,48,6600000,162
2019,12,True,Marin,06041,180,96829238,12,8606250,0,0,49,10531745,241
2020,12,True,Marin,06041,134,72267477,14,10718750,3,350000,11,2364269,162
2021,12,True,Marin,06041,149,77032415,20,15312500,0,0,96,18477276,265
2022,12,True,Marin,06041,174,73654692,12,9187500,7,1548264,49,9512644,242
2023,12,True,Marin,06041,180,93170039,6,2615000,0,0,115,21231920,301
2024,12,True,Marin,06041,142,74623234,2,752400,0,0,5,1524390,149
2025,12,True,Marin,06041,140,78472209,0,0,3,1750000,0,0,143
2026,7,True,Marin,06041,82,54525701,0,0,4,831394,120,24325628,206
2022,12,True,Napa,06055,220,63772126,2,232749,0,0,872,149611484,1094
2023,12,True,Napa,06055,285,128155148,0,0,3,867000,50,11000002,338
2024,12,True,Napa,06055,238,145268985,0,0,0,0,189,36200000,427
2025,12,True,Napa,06055,245,134728388,2,779000,4,1483993,87,16600000,338
2026,7,True,Napa,06055,167,108555900,2,1050000,8,2784102,5,857340,182
2015,12,True,San Francisco,06075,64,17051677,98,32631748,25,6904653,3478,984684931,3665
2016,12,True,San Francisco,06075,123,33581373,38,17034908,26,13729285,3900,1080121307,4087
2017,12,True,San Francisco,06075,43,11777452,24,7182189,31,8616336,4156,1308822857,4254
2018,12,True,San Francisco,06075,28,7592371,68,8210433,29,6401318,5053,979427817,5178
2019,12,True,San Francisco,06075,22,6073858,36,6709517,40,8115497,3102,892895418,3200
2020,12,True,San Francisco,06075,21,5832607,12,3021795,16,6459947,1955,770759604,2004
2021,12,True,San Francisco,06075,33,9079986,38,23168302,17,4266195,2431,782892210,2519
2022,12,True,San Francisco,06075,38,10730782,14,3406054,37,10084446,1955,729159372,2044
2023,12,True,San Francisco,06075,29,22154023,16,8634560,15,7164290,1076,447870808,1136
2024,12,True,San Francisco,06075,27,18313832,26,17348825,9,3943979,688,381780646,750
2025,12,True,San Francisco,06075,20,6646938,16,7199450,13,3003969,1595,528536516,1644
2026,7,True,San Francisco,06075,9,5026608,22,15197849,8,1200001,965,439279963,1004
2015,12,True,San Mateo,06081,473,326203237,4,1422400,3,1023750,745,152155038,1225
2016,12,True,San Mateo,06081,473,336339165,16,4635200,19,4918086,1518,298384908,2026
2017,12,True,San Mateo,06081,384,346716347,20,5025532,3,925000,1609,271262310,2016
2018,12,True,San Mateo,06081,308,296198178,10,2792142,0,0,813,156059585,1131
2019,12,True,San Mateo,06081,360,298776447,8,3106360,8,2222717,1061,297494891,1437
2020,12,True,San Mateo,06081,345,249656920,6,1769696,4,1972578,322,87598781,677
2021,12,True,San Mateo,06081,513,369073700,24,5757960,12,6227392,1250,363710870,1799
2022,12,True,San Mateo,06081,427,310516148,16,4473960,10,2250000,1739,331775349,2192
2023,12,True,San Mateo,06081,389,261962734,0,0,25,5780000,646,157872818,1060
2024,12,True,San Mateo,06081,527,403197179,2,480300,6,1570910,484,112344692,1019
2025,12,True,San Mateo,06081,464,322475414,14,4916933,6,1975000,1571,454900990,2055
2026,7,True,San Mateo,06081,285,242881118,30,14375289,6,1885455,523,143904743,844
2015,12,True,Santa Clara,06085,1742,666370580,12,3833255,103,23367910,4243,728992774,6100
2016,12,True,Santa Clara,06085,1633,658941554,14,3565343,110,24109441,3939,486724250,5696
2017,12,True,Santa Clara,06085,2025,720423798,12,1969039,68,16914245,5865,996183346,7970
2018,12,True,Santa Clara,06085,1860,705143862,22,5002129,24,6186845,5872,963975557,7778
2019,12,True,Santa Clara,06085,1832,675674249,22,6376593,50,12343192,3841,661726878,5745
2020,12,True,Santa Clara,06085,1350,537750809,14,3794333,19,4961546,4057,488558076,5440
2021,12,True,Santa Clara,06085,1942,710154272,34,11675811,8,2165719,2388,411518363,4372
2022,12,True,Santa Clara,06085,3354,1078252127,20,5382732,8,2420046,3061,619626507,6443
2023,12,True,Santa Clara,06085,1887,760523302,16,5752103,8,1091200,3984,745473762,5895
2024,12,True,Santa Clara,06085,1915,722091117,30,6547517,7,3279200,1886,1148354437,3838
2025,12,True,Santa Clara,06085,1863,766468733,22,3718984,19,3567013,3902,527140038,5806
2026,7,True,Santa Clara,06085,1096,453443951,10,1587676,20,3610621,2682,526480380,3808
2022,12,True,Santa Cruz,06087,403,81115365,2,950283,3,1351728,200,18887634,608
2023,12,True,Santa Cruz,06087,248,41516876,10,4411686,10,3665688,278,38188553,546
2024,12,True,Santa Cruz,06087,190,41893478,6,1469593,3,991697,25,1928615,224
2025,12,True,Santa Cruz,06087,150,30150523,6,1914800,6,1983394,388,55500688,550
2026,7,True,Santa Cruz,06087,118,27512277,2,507339,3,991697,308,56892399,431
2022,12,True,Solano,06095,945,268103834,0,0,0,0,206,28817458,1151
2023,12,True,Solano,06095,940,214994814,0,0,0,0,476,87033878,1416
2024,12,True,Solano,06095,1327,414143292,14,2720637,0,0,131,31035872,1472
2025,12,True,Solano,06095,746,259882593,8,1600000,3,619508,120,20576149,877
2026,7,True,Solano,06095,467,148502005,8,1600000,0,0,0,0,475
2022,12,True,Sonoma,06097,955,284661056,4,704658,7,1065253,1299,309258827,2265
2023,12,True,Sonoma,06097,1020,293801883,0,0,12,4700000,1321,291212302,2353
2024,12,True,Sonoma,06097,837,244817327,8,1903890,9,1992580,185,50927294,1039
2025,12,True,Sonoma,06097,782,236857056,0,0,8,748323,892,182452874,1682
2026,7,True,Sonoma,06097,508,147727263,4,596000,4,2000000,142,33480371,658
