series_id,family,label,year,month,period,value
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,1,2017-01,394.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,2,2017-02,394.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,3,2017-03,393.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,4,2017-04,394.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,5,2017-05,394.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,6,2017-06,398.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,7,2017-07,396.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,8,2017-08,396.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,9,2017-09,393.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,10,2017-10,395.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,11,2017-11,393.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2017,12,2017-12,394.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,1,2018-01,391.4
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,2,2018-02,393.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,3,2018-03,394.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,4,2018-04,392.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,5,2018-05,393.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,6,2018-06,395.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,7,2018-07,395.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,8,2018-08,394.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,9,2018-09,391.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,10,2018-10,391.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,11,2018-11,390.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2018,12,2018-12,390.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,1,2019-01,388.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,2,2019-02,390.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,3,2019-03,387.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,4,2019-04,387.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,5,2019-05,387.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,6,2019-06,389.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,7,2019-07,388.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,8,2019-08,389.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,9,2019-09,385.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,10,2019-10,384.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,11,2019-11,385.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2019,12,2019-12,385.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,1,2020-01,384.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,2,2020-02,383.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,3,2020-03,382.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,4,2020-04,308.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,5,2020-05,335.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,6,2020-06,352.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,7,2020-07,353.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,8,2020-08,357.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,9,2020-09,359.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,10,2020-10,360.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,11,2020-11,365.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2020,12,2020-12,369.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,1,2021-01,368.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,2,2021-02,368.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,3,2021-03,367.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,4,2021-04,366.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,5,2021-05,368.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,6,2021-06,376.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,7,2021-07,378.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,8,2021-08,375.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,9,2021-09,376.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,10,2021-10,377.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,11,2021-11,379.4
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2021,12,2021-12,382.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,1,2022-01,377.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,2,2022-02,382.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,3,2022-03,382.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,4,2022-04,380.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,5,2022-05,382.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,6,2022-06,382.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,7,2022-07,381.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,8,2022-08,378.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,9,2022-09,374.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,10,2022-10,375.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,11,2022-11,372.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2022,12,2022-12,371.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,1,2023-01,365.4
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,2,2023-02,363.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,3,2023-03,363.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,4,2023-04,362.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,5,2023-05,358.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,6,2023-06,361.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,7,2023-07,357.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,8,2023-08,356.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,9,2023-09,351.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,10,2023-10,351.4
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,11,2023-11,352.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2023,12,2023-12,352.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,1,2024-01,346.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,2,2024-02,347.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,3,2024-03,348.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,4,2024-04,345.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,5,2024-05,344.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,6,2024-06,346.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,7,2024-07,343.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,8,2024-08,342.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,9,2024-09,339.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,10,2024-10,338.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,11,2024-11,339.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2024,12,2024-12,339.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,1,2025-01,335.9
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,2,2025-02,335.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,3,2025-03,337.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,4,2025-04,338.5
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,5,2025-05,339.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,6,2025-06,343.1
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,7,2025-07,342.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,8,2025-08,341.2
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,9,2025-09,337.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,10,2025-10,334.4
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,11,2025-11,334.6
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2025,12,2025-12,334.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,1,2026-01,331.7
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,2,2026-02,334.4
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,3,2026-03,333.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,4,2026-04,331.3
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,5,2026-05,331.8
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,6,2026-06,334.0
CEU3133700001,CES,"All employees, furniture and related product mfg (000s)",2026,7,2026-07,331.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,1,2017-01,39.7
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,2,2017-02,39.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,3,2017-03,39.4
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,4,2017-04,38.5
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,5,2017-05,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,6,2017-06,39.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,7,2017-07,38.7
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,8,2017-08,38.9
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,9,2017-09,38.3
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,10,2017-10,38.6
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,11,2017-11,39.0
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2017,12,2017-12,39.6
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,1,2018-01,38.7
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,2,2018-02,38.9
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,3,2018-03,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,4,2018-04,38.9
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,5,2018-05,39.0
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,6,2018-06,39.5
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,7,2018-07,39.4
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,8,2018-08,39.4
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,9,2018-09,39.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,10,2018-10,39.0
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,11,2018-11,39.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2018,12,2018-12,39.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,1,2019-01,38.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,2,2019-02,37.9
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,3,2019-03,38.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,4,2019-04,38.5
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,5,2019-05,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,6,2019-06,39.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,7,2019-07,39.1
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,8,2019-08,39.0
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,9,2019-09,39.3
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,10,2019-10,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,11,2019-11,38.9
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2019,12,2019-12,39.3
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,1,2020-01,38.5
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,2,2020-02,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,3,2020-03,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,4,2020-04,37.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,5,2020-05,38.7
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,6,2020-06,39.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,7,2020-07,39.3
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,8,2020-08,39.6
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,9,2020-09,38.5
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,10,2020-10,39.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,11,2020-11,38.6
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2020,12,2020-12,39.7
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,1,2021-01,39.3
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,2,2021-02,39.0
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,3,2021-03,39.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,4,2021-04,39.4
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,5,2021-05,39.7
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,6,2021-06,39.3
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,7,2021-07,39.2
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,8,2021-08,39.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,9,2021-09,38.8
CEU3133700002,CES,"Average weekly hours, production employees, furniture mfg",2021,10,2021-10,39.4
