geo_level,name,county_fips,year,households_occupied_units,owner_occupied,renter_occupied,median_household_income,households_income_200k_plus,households_income_150_200k,median_home_value,population_1yr_plus,movers_within_same_county,movers_from_other_county_same_state,movers_from_other_state,movers_total_1yr,affluent_household_share
counties,"Alameda County, California",001,2023,593117.0,320712.0,272405.0,126240.0,182232.0,72235.0,1057400.0,1635266.0,1433124.0,103316.0,59811.0,1596251.0,0.429
counties,"Contra Costa County, California",013,2023,411662.0,278509.0,133153.0,125727.0,117492.0,55825.0,830800.0,1149670.0,1028882.0,60940.0,41888.0,1131710.0,0.421
counties,"Marin County, California",041,2023,103201.0,65927.0,37274.0,142785.0,38438.0,11354.0,1390000.0,256197.0,226304.0,12242.0,12132.0,250678.0,0.4825
counties,"Napa County, California",055,2023,49663.0,31985.0,17678.0,108970.0,11104.0,6461.0,838800.0,134775.0,120133.0,7465.0,5363.0,132961.0,0.3537
counties,"San Francisco County, California",075,2023,362650.0,139610.0,223040.0,141446.0,131066.0,41955.0,1380500.0,828391.0,700486.0,68327.0,32274.0,801087.0,0.4771
counties,"San Mateo County, California",081,2023,264424.0,156244.0,108180.0,156000.0,103226.0,33140.0,1494500.0,736940.0,649305.0,38103.0,29650.0,717058.0,0.5157
counties,"Santa Clara County, California",085,2023,654467.0,361910.0,292557.0,159674.0,261832.0,82575.0,1382800.0,1885283.0,1619679.0,161647.0,47021.0,1828347.0,0.5262
counties,"Santa Cruz County, California",087,2023,96873.0,58102.0,38771.0,109266.0,22943.0,12244.0,1015200.0,263734.0,226759.0,17400.0,15456.0,259615.0,0.3632
counties,"Solano County, California",095,2023,155800.0,98510.0,57290.0,99994.0,25596.0,19719.0,589600.0,446129.0,395038.0,25395.0,18580.0,439013.0,0.2909
counties,"Sonoma County, California",097,2023,190498.0,118489.0,72009.0,102840.0,36153.0,25052.0,779000.0,481523.0,423318.0,37228.0,14337.0,474883.0,0.3213
california,California,,2023,13434847.0,7494811.0,5940036.0,96334.0,2610702.0,1497056.0,695400.0,38844391.0,34504629.0,2574622.0,1053177.0,38132428.0,0.3058
us,United States,,2023,127482865.0,82892037.0,44590828.0,78538.0,16009609.0,11843136.0,303400.0,328888644.0,287180663.0,21768050.0,10405789.0,319354502.0,0.2185
