seed_term,kind,query,value,formatted_value
custom furniture,top,custom furniture near me,100,100
custom furniture,top,custom office furniture,55,55
custom furniture,top,custom furniture covers,51,51
custom furniture,top,custom furniture online,37,37
custom furniture,top,custom furniture maker,31,31
custom furniture,top,custom furniture dubai,5,5
custom furniture,rising,custom furniture dubai,250,+250%
custom furniture,rising,custom furniture online,50,+50%
custom closet,top,custom closets,100,100
custom closet,top,custom closet design,94,94
custom closet,top,custom closet door,92,92
custom closet,top,custom closet cost,59,59
custom closet,top,custom closet systems,59,59
custom closet,top,custom closet organizer,57,57
custom closet,top,custom closet system,53,53
custom closet,top,custom closet cabinets,46,46
custom closet,top,custom closet near me,42,42
custom closet,top,custom closet home depot,40,40
custom closet,top,custom wardrobe,36,36
custom closet,top,custom closet shelves,35,35
custom closet,top,custom closet companies,13,13
custom closet,top,best custom closet systems,6,6
custom closet,top,ikea custom closet builder,3,3
custom closet,rising,ikea custom closet builder,160,+160%
custom closet,rising,custom closet system,110,+110%
custom closet,rising,custom wardrobe,70,+70%
custom closet,rising,best custom closet systems,60,+60%
custom closet,rising,custom closet companies,50,+50%
custom cabinets,top,custom cabinets near me,100,100
custom cabinets,top,ikea custom cabinets,75,75
custom cabinets,top,custom cabinets cost,75,75
custom cabinets,top,semi custom cabinets,48,48
custom cabinets,top,custom cabinets san diego,43,43
custom cabinets,top,custom cabinetry,38,38
custom cabinets,top,custom cabinets los angeles,36,36
custom cabinets,top,online custom cabinets,30,30
custom cabinets,top,cost of custom cabinets,28,28
custom cabinets,top,how to build custom cabinets,9,9
custom cabinets,top,how much do custom cabinets cost,8,8
custom cabinets,top,modern edge custom cabinets,1,1
custom cabinets,rising,modern edge custom cabinets,9950,Breakout
custom kitchen island,top,custom kitchen islands,100,100
custom dining table,top,custom dining tables,100,100
custom desk,top,custom desk top,100,100
custom desk,top,custom desk mat,82,82
custom desk,top,ikea custom desk,67,67
custom desk,top,custom desk pad,59,59
custom desk,top,custom desktop,36,36
custom desk,top,custom desk sign,26,26
custom desk,top,custom desk pads,19,19
custom desk,rising,custom desk mat,150,+150%
custom desk,rising,custom desk pad,50,+50%
custom desk,rising,custom desk sign,40,+40%
custom headboard,top,custom headboards,100,100
custom coffee table,top,custom coffee table book,100,100
custom bed frame,top,custom bed frames,100,100
custom vanity,top,custom vanity top,100,100
custom vanity,top,custom vanity cabinet,95,95
custom vanity,top,custom vanity mirror,92,92
custom vanity,top,custom vanity cabinets,64,64
custom vanity,top,custom vanity plates,40,40
custom vanity,top,custom vanity tops,39,39
custom shelving,top,custom shelving units,100,100
custom bench,top,custom bench seat,100,100
custom bench,top,custom bench cushion,82,82
custom bench,top,custom bench cushions,66,66
custom bench,top,custom cushions,66,66
custom bench,top,bench cushions,65,65
custom bench,top,custom bench seats,18,18
custom wardrobe,top,custom wardrobe closet,100,100
custom wardrobe,top,custom closet,98,98
custom wardrobe,top,ikea,72,72
custom wardrobe,top,ikea wardrobe,71,71
custom wardrobe,top,ikea custom wardrobe,71,71
custom wardrobe,top,custom wardrobe doors,43,43
custom sofa,top,custom sofa covers,100,100
custom sofa,top,custom sofa cushions,64,64
custom sofa,top,custom sofas,46,46
custom sofa,top,custom sofa los angeles,43,43
custom outdoor furniture,top,custom outdoor furniture covers,100,100
custom outdoor furniture,top,custom outdoor furniture cushions,99,99
custom bar,top,custom bar cabinet,100,100
custom bar,top,custom bar sign,85,85
custom bar,top,custom bar necklace,79,79
custom bar,top,custom bar stools,62,62
custom bar,top,custom bar mat,59,59
custom bar,top,custom bar signs,57,57
custom bar,rising,custom bar mat,300,+300%
custom bar,rising,custom bar cabinet,100,+100%
custom bar,rising,custom bar sign,50,+50%
