seed_term,seed_batch,kind,query,value,formatted_value
dining table,0,top,dining table set,100,100
dining table,0,top,round dining table,83,83
dining table,0,top,round table,83,83
dining table,0,top,dining room table,58,58
dining table,0,top,dining table chairs,57,57
dining table,0,top,dining chairs,57,57
dining table,0,top,wood dining table,53,53
dining table,0,top,outdoor dining table,37,37
dining table,0,top,black dining table,34,34
dining table,0,top,modern dining table,33,33
dining table,0,top,white dining table,29,29
dining table,0,top,small dining table,29,29
dining table,0,top,extendable dining table,26,26
dining table,0,top,ikea,26,26
dining table,0,top,ikea dining table,26,26
dining table,0,top,dining table and chairs,24,24
dining table,0,top,glass dining table,24,24
dining table,0,top,dining table for 6,20,20
dining table,0,top,dining table with chairs,19,19
dining table,0,top,oval dining table,18,18
dining table,0,top,marble dining table,17,17
dining table,0,top,dining table bench,16,16
dining table,0,top,chairs for dining table,15,15
dining table,0,top,round dining table set,15,15
dining table,0,top,coffee table,14,14
dining table,0,rising,castlery dining table,1350,"+1,350%"
dining table,0,rising,transformer table,850,+850%
dining table,0,rising,small dining table set for 4,300,+300%
dining table,0,rising,dining table set for 4,300,+300%
dining table,0,rising,oval dining table for 6,300,+300%
dining table,0,rising,dining table set for 6,250,+250%
dining table,0,rising,arhaus,250,+250%
dining table,0,rising,small dining table for 4,200,+200%
dining table,0,rising,round dining table for 4,200,+200%
dining table,0,rising,black round dining table,200,+200%
dining table,0,rising,dining table for 6,200,+200%
dining table,0,rising,extendable dining table set,200,+200%
dining table,0,rising,stone dining table,190,+190%
dining table,0,rising,round pedestal dining table,170,+170%
dining table,0,rising,dining table set for 8,160,+160%
dining table,0,rising,article dining table,140,+140%
dining table,0,rising,small dining table for 2,140,+140%
dining table,0,rising,article,140,+140%
dining table,0,rising,round extendable dining table,130,+130%
dining table,0,rising,extendable dining table,130,+130%
dining table,0,rising,outdoor dining set,130,+130%
dining table,0,rising,round wood dining table,130,+130%
dining table,0,rising,outdoor dining table set,130,+130%
dining table,0,rising,solid wood dining table,120,+120%
dining table,0,rising,white oak dining table,120,+120%
custom dining table,0,top,custom dining tables,100,100
solid wood dining table,0,top,solid wood dining table set,100,100
solid wood dining table,0,top,solid wood furniture,52,52
solid wood dining table,0,top,solid wood dining table extendable,49,49
solid wood dining table,0,top,extendable dining table,48,48
solid wood dining table,0,top,solid wood dining table for 6,32,32
solid wood dining table,0,top,walnut dining table,26,26
solid wood dining table,0,top,scandinavian solid wood folding dining table,5,5
solid wood dining table,0,rising,scandinavian solid wood folding dining table,90350,Breakout
solid wood dining table,0,rising,solid wood dining table for 6,450,+450%
solid wood dining table,0,rising,solid wood dining table set,40,+40%
solid wood dining table,0,rising,walnut dining table,40,+40%
walnut dining table,0,top,walnut wood,100,100
walnut dining table,0,top,wood dining table,98,98
walnut dining table,0,top,round dining table,80,80
walnut dining table,0,top,dining table set,66,66
walnut dining table,0,top,dining chairs,55,55
walnut dining table,0,top,black walnut dining table,46,46
walnut dining table,0,top,dining room table,41,41
walnut dining table,0,top,solid walnut dining table,38,38
walnut dining table,0,top,extendable dining table,38,38
walnut dining table,0,top,solid wood dining table,27,27
walnut dining table,0,top,oval dining table,27,27
walnut dining table,0,top,dark walnut dining table,24,24
walnut dining table,0,rising,extendable dining table,120,+120%
walnut dining table,0,rising,oval dining table,100,+100%
walnut dining table,0,rising,dining table set,70,+70%
walnut dining table,0,rising,solid wood dining table,60,+60%
walnut dining table,0,rising,black walnut dining table,60,+60%
walnut dining table,0,rising,round dining table,40,+40%
live edge dining table,0,top,live edge wood,100,100
live edge dining table,0,top,live edge dining tables,19,19
live edge dining table,0,top,live edge dining table near me,10,10
live edge dining table,0,rising,live edge dining table near me,60,+60%
custom furniture,1,top,custom furniture near me,100,100
custom furniture,1,top,custom office furniture,55,55
custom furniture,1,top,custom furniture covers,51,51
custom furniture,1,top,custom furniture online,37,37
custom furniture,1,top,custom furniture maker,31,31
custom furniture,1,top,custom furniture dubai,5,5
custom furniture,1,rising,custom furniture dubai,250,+250%
custom furniture,1,rising,custom furniture online,50,+50%
reclaimed wood dining table,1,top,reclaimed wood dining room table,100,100
reclaimed wood dining table,1,top,reclaimed wood dining table set,86,86
reclaimed wood dining table,1,top,west elm,76,76
reclaimed wood dining table,1,top,pottery barn,61,61
reclaimed wood dining table,1,top,reclaimed wood dining table and chairs,27,27
reclaimed wood dining table,1,top,emmerson reclaimed wood dining table,27,27
reclaimed wood dining table,1,rising,west elm,60,+60%
white oak dining table,2,top,white oak dining table set,100,100
white oak dining table,2,rising,white oak dining table set,90,+90%
farmhouse dining table,2,top,farmhouse dining table set,100,100
farmhouse dining table,2,top,round farmhouse dining table,66,66
farmhouse dining table,2,top,round dining table,66,66
farmhouse dining table,2,top,black farmhouse dining table,53,53
farmhouse dining table,2,top,rustic farmhouse dining table,47,47
farmhouse dining table,2,top,white farmhouse dining table,46,46
farmhouse dining table,2,top,farmhouse furniture,36,36
farmhouse dining table,2,top,farmhouse dining table and chairs,26,26
farmhouse dining table,2,top,solid wood dining table,24,24
farmhouse dining table,2,top,outdoor farmhouse dining table,23,23
farmhouse dining table,2,top,small farmhouse dining table,22,22
farmhouse dining table,2,top,rustic farmhouse dining table set for 6,4,4
farmhouse dining table,2,top,rustic farmhouse dining table set for 8,2,2
farmhouse dining table,2,rising,rustic farmhouse dining table set for 8,42200,Breakout
farmhouse dining table,2,rising,rustic farmhouse dining table set for 6,750,+750%
farmhouse dining table,2,rising,solid wood dining table,300,+300%
farmhouse dining table,2,rising,black farmhouse dining table,200,+200%
farmhouse dining table,2,rising,round dining table,90,+90%
farmhouse dining table,2,rising,round farmhouse dining table,90,+90%
farmhouse dining table,2,rising,outdoor farmhouse dining table,70,+70%
farmhouse dining table,2,rising,small farmhouse dining table,50,+50%
farmhouse dining table,2,rising,farmhouse dining table set,40,+40%
extendable dining table,2,top,round dining table,100,100
extendable dining table,2,top,extendable dining table round,100,100
extendable dining table,2,top,extendable dining table set,94,94
extendable dining table,2,top,wood extendable dining table,73,73
extendable dining table,2,top,black extendable dining table,46,46
extendable dining table,2,top,oval dining table,44,44
extendable dining table,2,top,outdoor extendable dining table,44,44
extendable dining table,2,top,white extendable dining table,41,41
extendable dining table,2,top,dining room table,40,40
extendable dining table,2,top,extendable dining table ikea,39,39
extendable dining table,2,top,ikea extendable table,39,39
extendable dining table,2,top,ikea,39,39
extendable dining table,2,top,ikea dining table,39,39
extendable dining table,2,top,pottery barn extendable dining table,29,29
extendable dining table,2,top,west elm extendable dining table,28,28
extendable dining table,2,top,solid wood dining table,26,26
extendable dining table,2,top,small extendable dining table,25,25
extendable dining table,2,top,extendable oak dining table,24,24
extendable dining table,2,top,extendable dining table for 6,23,23
extendable dining table,2,top,best extendable dining table,22,22
extendable dining table,2,top,glass extendable dining table,19,19
extendable dining table,2,top,transformer table,9,9
extendable dining table,2,top,seb extendable dining table,4,4
extendable dining table,2,top,4 to 6 extendable dining table set,2,2
extendable dining table,2,rising,4 to 6 extendable dining table set,36650,Breakout
extendable dining table,2,rising,transformer table,350,+350%
extendable dining table,2,rising,seb extendable dining table,350,+350%
extendable dining table,2,rising,extendable dining table for 6,250,+250%
extendable dining table,2,rising,black extendable dining table,200,+200%
extendable dining table,2,rising,west elm extendable dining table,150,+150%
extendable dining table,2,rising,extendable oak dining table,150,+150%
extendable dining table,2,rising,pottery barn extendable dining table,120,+120%
extendable dining table,2,rising,oval dining table,100,+100%
extendable dining table,2,rising,best extendable dining table,70,+70%
extendable dining table,2,rising,extendable dining table set,50,+50%
extendable dining table,2,rising,solid wood dining table,40,+40%
extendable dining table,2,rising,outdoor extendable dining table,40,+40%
