keyword,family,buyer,vocabulary,is_anchor,mean_index,vs_anchor,weeks_at_or_below_1,resolved,momentum_yoy,batch
custom signs,sign_display,mixed,object,False,25.179,1.7288,0.0,True,0.4082,0
custom wheels,auto_moto,consumer,object,False,22.16,1.5215,0.0,True,0.6976,7
custom t shirts,soft_goods_cal,mixed,object,False,16.874,1.1585,0.0,True,0.0286,10
custom cabinets,wood_panel,consumer,object,False,15.477,1.0626,0.0,True,0.4475,6
custom furniture,anchor,mixed,object,True,14.565,1.0,0.0,True,1.8914,0
custom embroidery,soft_goods_cal,mixed,process,False,10.324,0.7089,0.0,True,0.7343,10
custom exhaust,auto_moto,consumer,object,False,9.046,0.6211,0.0,True,1.087,7
custom closet,wood_panel,consumer,object,False,8.641,0.5933,0.0,True,0.7277,6
custom trailer,trailer_equip,mixed,object,False,7.634,0.5241,0.0,True,1.8046,9
custom acrylic,plastics,mixed,object,False,7.267,0.499,0.0,True,2.413,8
3d printing service,additive,mixed,shop,False,7.031,0.4827,0.0,True,-0.2356,4
machine shop near me,machining,mixed,shop,False,6.687,0.4591,0.0,True,0.3871,3
custom engraving,sign_display,mixed,process,False,4.466,0.3066,0.0,True,1.0476,0
precision machining,machining,business,process,False,3.63,0.2492,0.011,True,1.0476,3
custom neon sign,sign_display,consumer,object,False,3.405,0.2338,0.0,True,0.539,0
custom countertops,stone_surface,consumer,object,False,2.721,0.1868,0.015,True,0.45,9
custom metal signs,sign_display,mixed,object,False,2.336,0.1604,0.019,True,0.161,0
custom enclosure,industrial,business,object,False,1.996,0.1371,0.748,False,3.8197,8
custom gates,metal_fab,consumer,object,False,1.943,0.1334,0.45,True,1.4286,1
metal fabrication near me,metal_fab,mixed,shop,False,1.874,0.1287,0.233,True,0.4268,1
custom wood furniture,wood_panel,consumer,object,False,1.508,0.1035,0.866,False,2.3889,6
custom brackets,industrial,mixed,object,False,1.462,0.1004,0.809,False,2.3818,9
custom truck bed,trailer_equip,consumer,object,False,1.439,0.0988,0.855,False,1.7414,10
custom car parts,auto_moto,consumer,object,False,1.302,0.0894,0.836,False,1.4528,7
custom metal fabrication,metal_fab,mixed,process,False,1.286,0.0883,0.748,False,1.0462,1
custom steel table,metal_fab,consumer,object,False,1.191,0.0818,0.924,False,,2
custom fire pit,metal_fab,consumer,object,False,0.954,0.0655,0.935,False,3.2,1
obsolete parts,parts_repair,business,object,False,0.927,0.0637,0.992,False,0.1905,3
laser cutting service,cutting,mixed,shop,False,0.557,0.0383,0.939,False,2.8571,5
part no longer available,parts_repair,mixed,object,False,0.515,0.0354,0.973,False,0.35,4
custom railings,metal_fab,mixed,object,False,0.431,0.0296,0.992,False,0.6667,2
custom motorcycle parts,auto_moto,consumer,object,False,0.416,0.0286,0.992,False,1.6,7
custom laser cutting,cutting,mixed,process,False,0.408,0.028,0.931,False,12.6667,5
cnc machining service,machining,business,shop,False,0.393,0.027,0.939,False,12.6667,2
custom replacement part,parts_repair,mixed,object,False,0.282,0.0194,0.943,False,34.5,3
custom injection molding,plastics,business,process,False,0.275,0.0189,0.962,False,,8
custom silicone mold,plastics,mixed,object,False,0.187,0.0128,0.954,False,6.6,8
custom tooling,industrial,business,object,False,0.183,0.0126,0.973,False,40.0,9
custom built ins,wood_panel,consumer,object,False,0.126,0.0086,1.0,False,1.0,6
custom machined parts,machining,business,object,False,0.061,0.0042,0.989,False,,2
reverse engineering parts,parts_repair,business,process,False,0.042,0.0029,1.0,False,8.0,4
custom 3d printed parts,additive,mixed,object,False,0.027,0.0018,1.0,False,,4
rapid prototyping service,additive,business,shop,False,0.023,0.0016,1.0,False,,5
waterjet cutting service,cutting,business,shop,False,0.008,0.0005,1.0,False,,5
