keyword,family,buyer,vocabulary,raw_vs_anchor,on_topic_share,adjusted_vs_anchor,related_top_n,commercial_share,non_buyer_signals,momentum_yoy,weeks_at_or_below_1,resolved,verdict
custom signs,sign_display,mixed,object,1.7288,1.0,1.7288,14,0.214,0,0.4082,0.0,True,measured
custom t shirts,soft_goods_cal,mixed,object,1.1585,1.0,1.1585,22,0.136,0,0.0286,0.0,True,measured
custom cabinets,wood_panel,consumer,object,1.0626,1.0,1.0626,24,0.292,0,0.4475,0.0,True,measured
custom wheels,auto_moto,consumer,object,1.5215,0.5,0.7608,6,0.333,0,0.6976,0.0,True,measured
custom embroidery,soft_goods_cal,mixed,process,0.7089,1.0,0.7089,25,0.16,0,0.7343,0.0,True,measured
custom exhaust,auto_moto,consumer,object,0.6211,1.0,0.6211,15,0.333,0,1.087,0.0,True,measured
custom closet,wood_panel,consumer,object,0.5933,1.0,0.5933,21,0.286,1,0.7277,0.0,True,measured
custom trailer,trailer_equip,mixed,object,0.5241,1.0,0.5241,5,0.2,0,1.8046,0.0,True,measured
3d printing service,additive,mixed,shop,0.4827,0.92,0.4441,25,0.913,0,-0.2356,0.0,True,measured
custom acrylic,plastics,mixed,object,0.499,0.889,0.4436,9,0.0,0,2.413,0.0,True,measured
custom engraving,sign_display,mixed,process,0.3066,1.0,0.3066,4,0.25,0,1.0476,0.0,True,measured
custom neon sign,sign_display,consumer,object,0.2338,1.0,0.2338,25,0.0,0,0.539,0.0,True,measured
precision machining,machining,business,process,0.2492,0.846,0.2108,13,0.182,1,1.0476,0.011,True,measured
custom countertops,stone_surface,consumer,object,0.1868,1.0,0.1868,3,0.333,0,0.45,0.015,True,measured
custom metal signs,sign_display,mixed,object,0.1604,1.0,0.1604,12,0.167,0,0.161,0.019,True,measured
custom enclosure,industrial,business,object,0.1371,1.0,0.1371,1,0.0,0,3.8197,0.748,False,unmeasured
custom gates,metal_fab,consumer,object,0.1334,1.0,0.1334,2,0.5,0,1.4286,0.45,True,measured
metal fabrication near me,metal_fab,mixed,shop,0.1287,1.0,0.1287,4,0.75,0,0.4268,0.233,True,measured
machine shop near me,machining,mixed,shop,0.4591,0.25,0.1148,8,1.0,0,0.3871,0.0,True,contaminated
custom wood furniture,wood_panel,consumer,object,0.1035,1.0,0.1035,2,1.0,0,2.3889,0.866,False,unmeasured
custom truck bed,trailer_equip,consumer,object,0.0988,1.0,0.0988,1,0.0,0,1.7414,0.855,False,unmeasured
custom car parts,auto_moto,consumer,object,0.0894,1.0,0.0894,1,1.0,0,1.4528,0.836,False,unmeasured
custom metal fabrication,metal_fab,mixed,process,0.0883,1.0,0.0883,6,0.5,0,1.0462,0.748,False,unmeasured
custom fire pit,metal_fab,consumer,object,0.0655,1.0,0.0655,2,0.0,0,3.2,0.935,False,unmeasured
laser cutting service,cutting,mixed,shop,0.0383,1.0,0.0383,7,0.857,0,2.8571,0.939,False,unmeasured
custom laser cutting,cutting,mixed,process,0.028,1.0,0.028,1,0.0,0,12.6667,0.931,False,unmeasured
cnc machining service,machining,business,shop,0.027,1.0,0.027,10,0.7,0,12.6667,0.939,False,unmeasured
custom silicone mold,plastics,mixed,object,0.0128,1.0,0.0128,2,0.0,0,6.6,0.954,False,unmeasured
custom tooling,industrial,business,object,0.0126,1.0,0.0126,3,0.0,0,40.0,0.973,False,unmeasured
custom machined parts,machining,business,object,0.0042,1.0,0.0042,1,0.0,0,,0.989,False,unmeasured
waterjet cutting service,cutting,business,shop,0.0005,1.0,0.0005,1,1.0,0,,1.0,False,unmeasured
custom furniture,anchor,mixed,object,1.0,,,0,,0,1.8914,0.0,True,measured
custom brackets,industrial,mixed,object,0.1004,,,0,,0,2.3818,0.809,False,unmeasured
custom steel table,metal_fab,consumer,object,0.0818,,,0,,0,,0.924,False,unmeasured
obsolete parts,parts_repair,business,object,0.0637,,,0,,0,0.1905,0.992,False,unmeasured
part no longer available,parts_repair,mixed,object,0.0354,,,0,,0,0.35,0.973,False,unmeasured
custom railings,metal_fab,mixed,object,0.0296,,,0,,0,0.6667,0.992,False,unmeasured
custom motorcycle parts,auto_moto,consumer,object,0.0286,,,0,,0,1.6,0.992,False,unmeasured
custom replacement part,parts_repair,mixed,object,0.0194,,,0,,0,34.5,0.943,False,unmeasured
custom injection molding,plastics,business,process,0.0189,,,0,,0,,0.962,False,unmeasured
custom built ins,wood_panel,consumer,object,0.0086,,,0,,0,1.0,1.0,False,unmeasured
reverse engineering parts,parts_repair,business,process,0.0029,,,0,,0,8.0,1.0,False,unmeasured
custom 3d printed parts,additive,mixed,object,0.0018,,,0,,0,,1.0,False,unmeasured
rapid prototyping service,additive,business,shop,0.0016,,,0,,0,,1.0,False,unmeasured
