geo,name,naics,naics_label,year,establishments,employees,receipts_kusd,payroll_kusd
us,United States,337920,Blind and shade manufacturing,2022,320.0,11653.0,2593295.0,597776.0
california,California,337920,Blind and shade manufacturing,2022,53.0,1966.0,389347.0,119103.0
us,United States,337122,Nonupholstered wood household furniture manufacturing,2022,1810.0,21628.0,4000422.0,889510.0
california,California,337122,Nonupholstered wood household furniture manufacturing,2022,160.0,1413.0,223677.0,62529.0
us,United States,337211,Wood office furniture manufacturing,2022,333.0,13299.0,3335761.0,679791.0
california,California,337211,Wood office furniture manufacturing,2022,45.0,1160.0,219452.0,56640.0
us,United States,337212,Custom architectural woodwork and millwork,2022,2273.0,47896.0,10017333.0,2796850.0
california,California,337212,Custom architectural woodwork and millwork,2022,198.0,4398.0,949999.0,277276.0
us,United States,3371,Household and institutional furniture manufacturing,2022,10113.0,235897.0,48938689.0,10793022.0
california,California,3371,Household and institutional furniture manufacturing,2022,1190.0,19644.0,4727735.0,957156.0
us,United States,337,Furniture and related product manufacturing,2022,14399.0,378328.0,88686569.0,18545649.0
california,California,337,Furniture and related product manufacturing,2022,1682.0,32316.0,8079793.0,1674219.0
