geo,size_emp,enterprises,events_per_yr,addressable_eur_yr
AL,20-49,475,712,213750
AL,50-249,383,1532,459600
AL,GE250,60,720,216000
AT,20-49,2107,3160,948150
AT,50-249,1435,5740,1722000
AT,GE250,505,6060,1818000
BA,20-49,708,1062,318600
BA,50-249,534,2136,640800
BA,GE250,131,1572,471600
BE,20-49,1673,2510,752850
BE,50-249,1168,4672,1401600
BE,GE250,321,3852,1155600
BG,20-49,2346,3519,1055700
BG,50-249,1482,5928,1778400
BG,GE250,266,3192,957600
CH,20-49,2887,4330,1299150
CH,50-249,1831,7324,2197200
CH,GE250,374,4488,1346400
CY,20-49,193,290,86850
CY,50-249,91,364,109200
CY,GE250,9,108,32400
CZ,20-49,3808,5712,1713600
CZ,50-249,2920,11680,3504000
CZ,GE250,870,10440,3132000
DE,20-49,19093,28640,8591850
DE,50-249,14452,57808,17342400
DE,GE250,4463,53556,16066800
DK,20-49,1204,1806,541800
DK,50-249,842,3368,1010400
DK,GE250,198,2376,712800
EE,20-49,623,934,280350
EE,50-249,410,1640,492000
EE,GE250,55,660,198000
EL,20-49,1807,2710,813150
EL,50-249,825,3300,990000
EL,GE250,155,1860,558000
ES,20-49,10338,15507,4652100
ES,50-249,4954,19816,5944800
ES,GE250,1044,12528,3758400
FI,20-49,1240,1860,558000
FI,50-249,800,3200,960000
FI,GE250,198,2376,712800
FR,20-49,7945,11918,3575250
FR,50-249,4571,18284,5485200
FR,GE250,1504,18048,5414400
HR,20-49,1061,1592,477450
HR,50-249,638,2552,765600
HR,GE250,149,1788,536400
HU,20-49,2386,3579,1073700
HU,50-249,1621,6484,1945200
HU,GE250,457,5484,1645200
IE,20-49,738,1107,332100
IE,50-249,604,2416,724800
IE,GE250,188,2256,676800
IS,20-49,123,184,55350
IS,50-249,69,276,82800
IS,GE250,16,192,57600
IT,20-49,19522,29283,8784900
IT,50-249,9242,36968,11090400
IT,GE250,1517,18204,5461200
LT,20-49,940,1410,423000
LT,50-249,685,2740,822000
LT,GE250,145,1740,522000
LU,20-49,105,158,47250
LU,50-249,84,336,100800
LU,GE250,29,348,104400
LV,20-49,645,968,290250
LV,50-249,410,1640,492000
LV,GE250,64,768,230400
MK,20-49,461,692,207450
MK,50-249,295,1180,354000
MK,GE250,55,660,198000
MT,20-49,104,156,46800
MT,50-249,65,260,78000
MT,GE250,13,156,46800
NL,20-49,2696,4044,1213200
NL,50-249,2022,8088,2426400
NL,GE250,380,4560,1368000
NO,20-49,1037,1556,466650
NO,50-249,670,2680,804000
NO,GE250,124,1488,446400
PL,20-49,9306,13959,4187700
PL,50-249,5799,23196,6958800
PL,GE250,1620,19440,5832000
PT,20-49,4230,6345,1903500
PT,50-249,2368,9472,2841600
PT,GE250,311,3732,1119600
RO,20-49,3785,5678,1703250
RO,50-249,2354,9416,2824800
RO,GE250,651,7812,2343600
RS,20-49,1501,2252,675450
RS,50-249,1014,4056,1216800
RS,GE250,267,3204,961200
SE,20-49,1576,2364,709200
SE,50-249,1076,4304,1291200
SE,GE250,370,4440,1332000
SI,20-49,758,1137,341100
SI,50-249,529,2116,634800
SI,GE250,134,1608,482400
SK,20-49,1219,1828,548550
SK,50-249,1015,4060,1218000
SK,GE250,293,3516,1054800
