naics,layer,receipts_band_usd_000,firms,establishments,receipts_usd,share_of_industry,receipts_per_firm_usd,remade_value_lo_usd,remade_value_hi_usd,remade_per_firm_lo_usd,remade_per_firm_hi_usd,modelled_seat_price_usd,modelled_layer_arr_usd
337920,manufacturers,<100,27,27,1573000,0.0006,58259,47190,157300,1747,5825,0,0
337920,manufacturers,100-499,89,89,25878000,0.0104,290764,776340,2587800,8722,29076,0,0
337920,manufacturers,500-999,39,39,26999000,0.0109,692282,809970,2699900,20768,69228,3000,117000
337920,manufacturers,"1,000-2,499",59,60,92172000,0.0372,1562237,2765160,9217200,46867,156223,3000,177000
337920,manufacturers,"2,500-4,999",28,28,93141000,0.0376,3326464,2794230,9314100,99793,332646,12000,336000
337920,manufacturers,"5,000-7,499",17,18,104080000,0.042,6122352,3122400,10408000,183670,612235,12000,204000
337920,manufacturers,"7,500-9,999",6,6,50190000,0.0203,8365000,1505700,5019000,250950,836500,12000,72000
337920,manufacturers,"10,000-14,999",11,11,117262000,0.0473,10660181,3517860,11726200,319805,1066018,40000,440000
337920,manufacturers,"15,000-19,999",6,7,101092000,0.0408,16848666,3032760,10109200,505460,1684866,40000,240000
337920,manufacturers,"25,000-29,999",3,3,77093000,0.0311,25697666,2312790,7709300,770930,2569766,40000,120000
337920,manufacturers,"100,000+",10,29,1548659000,0.6253,154865900,46459770,154865900,4645977,15486590,150000,1500000
442291,retail dealers,<100,166,166,8634000,0.0031,52012,259020,863400,1560,5201,0,0
442291,retail dealers,100-499,635,637,182042000,0.0656,286680,5461260,18204200,8600,28668,0,0
442291,retail dealers,500-999,462,464,330025000,0.119,714339,9900750,33002500,21430,71433,3000,1386000
442291,retail dealers,"1,000-2,499",432,440,660005000,0.238,1527789,19800150,66000500,45833,152778,3000,1296000
442291,retail dealers,"2,500-4,999",149,167,489970000,0.1767,3288389,14699100,48997000,98651,328838,12000,1788000
442291,retail dealers,"5,000-7,499",22,34,134906000,0.0486,6132090,4047180,13490600,183962,613209,12000,264000
442291,retail dealers,"7,500-9,999",10,10,83181000,0.03,8318100,2495430,8318100,249543,831810,12000,120000
442291,retail dealers,"10,000-14,999",10,13,97557000,0.0352,9755700,2926710,9755700,292671,975570,40000,400000
442291,retail dealers,"15,000-19,999",5,8,77918000,0.0281,15583600,2337540,7791800,467508,1558360,40000,200000
442291,retail dealers,"100,000+",4,171,526423000,0.1898,131605750,15792690,52642300,3948172,13160575,150000,600000
