naics,industry,role,bucket_order,receipts_band_usd_000,firms,establishments,employment,payroll_usd_000,receipts_usd_000
238150,Glass and glazing contractors,adjacent_mtm,01,Total,6548,6756,65429,4310703,18082616
238150,Glass and glazing contractors,adjacent_mtm,02,<100,832,832,812,13505,44833
238150,Glass and glazing contractors,adjacent_mtm,03,100-499,1839,1839,3894,145583,454751
238150,Glass and glazing contractors,adjacent_mtm,04,500-999,1109,1109,4933,232514,808438
238150,Glass and glazing contractors,adjacent_mtm,05,"1,000-2,499",1385,1390,10977,598701,2200933
238150,Glass and glazing contractors,adjacent_mtm,06,"2,500-4,999",622,628,9183,552368,2186290
238150,Glass and glazing contractors,adjacent_mtm,07,"5,000-7,499",253,262,5604,374629,1517612
238150,Glass and glazing contractors,adjacent_mtm,08,"7,500-9,999",138,147,4164,291227,1194542
238150,Glass and glazing contractors,adjacent_mtm,09,"10,000-14,999",143,155,5385,407366,1702251
238150,Glass and glazing contractors,adjacent_mtm,10,"15,000-19,999",73,86,3794,303649,1242193
238150,Glass and glazing contractors,adjacent_mtm,11,"20,000-24,999",41,72,2595,198322,882321
238150,Glass and glazing contractors,adjacent_mtm,12,"25,000-29,999",20,20,1480,122936,524705
238150,Glass and glazing contractors,adjacent_mtm,13,"30,000-34,999",18,24,1931,147433,557408
238150,Glass and glazing contractors,adjacent_mtm,14,"35,000-39,999",14,18,1163,108295,493964
238150,Glass and glazing contractors,adjacent_mtm,15,"40,000-49,999",18,38,1999,153774,689548
238150,Glass and glazing contractors,adjacent_mtm,16,"50,000-74,999",20,33,3236,252988,1080327
238150,Glass and glazing contractors,adjacent_mtm,17,"75,000-99,999",7,16,804,76085,411456
238150,Glass and glazing contractors,adjacent_mtm,18,"100,000+",16,87,3475,331328,2091044
238350,Finish carpentry contractors,adjacent_mtm,01,Total,31854,32169,168430,9697606,42970056
238350,Finish carpentry contractors,adjacent_mtm,02,<100,9512,9513,9177,170831,507543
238350,Finish carpentry contractors,adjacent_mtm,03,100-499,11084,11084,22369,877204,2440880
238350,Finish carpentry contractors,adjacent_mtm,04,500-999,3702,3702,16028,761067,2666393
238350,Finish carpentry contractors,adjacent_mtm,05,"1,000-2,499",4190,4195,30122,1583844,6544771
238350,Finish carpentry contractors,adjacent_mtm,06,"2,500-4,999",1776,1781,22191,1318044,6120038
238350,Finish carpentry contractors,adjacent_mtm,07,"5,000-7,499",610,625,12379,799715,3687285
238350,Finish carpentry contractors,adjacent_mtm,08,"7,500-9,999",258,269,6920,464088,2198463
238350,Finish carpentry contractors,adjacent_mtm,09,"10,000-14,999",296,316,10202,715265,3552880
238350,Finish carpentry contractors,adjacent_mtm,10,"15,000-19,999",116,133,5089,376140,1881603
238350,Finish carpentry contractors,adjacent_mtm,11,"20,000-24,999",66,78,3067,246965,1403819
