year,total_sales_usd_m,ecommerce_sales_usd_m,ecommerce_share
2022,7040995,1012636,0.1438
2021,6519845,951027,0.1459
2020,5565713,810758,0.1457
2019,5401470,571088,0.1057
2018,5253381,507386,0.0966
2017,5040214,443859,0.0881
2016,4846955,384587,0.0793
2015,4725662,338383,0.0716
2014,4640325,298031,0.0642
2013,4459042,261562,0.0587
2012,4302229,232205,0.054
2011,4102952,200380,0.0488
2010,3818048,169921,0.0445
2009,3612471,145507,0.0403
2008,3935315,141592,0.036
2007,3995182,136470,0.0342
2006,3871573,113334,0.0293
2005,3689283,91387,0.0248
2004,3473048,72597,0.0209
2003,3262731,57155,0.0175
2002,3128552,44623,0.0143
2001,3062268,34260,0.0112
2000,2983276,27608,0.0093
1999,2803090,14490,0.0052
1998,2581762,4984,0.0019
