keyword,family,buyer,vocabulary,is_anchor,mean_index,vs_anchor,weeks_at_or_below_1,resolved,momentum_yoy,batch
custom decals,printed,mixed,object,False,39.477,2.5475,0.0,True,0.3435,1
custom neon sign,anchor,mixed,object,True,15.496,1.0,0.0,True,0.5632,1
custom metal signs,fabricated,mixed,object,False,10.573,0.6823,0.0,True,0.2046,1
custom led signs,fabricated,mixed,object,False,12.592,0.4911,0.0,True,0.6307,2
custom business signs,ambiguous,business,object,False,10.24,0.3994,0.023,True,0.9808,4
custom wood signs,fabricated,consumer,object,False,8.786,0.3427,0.023,True,0.5014,2
custom car magnets,printed,business,object,False,3.092,0.1995,0.137,True,0.4855,1
custom acrylic sign,fabricated,mixed,object,False,3.34,0.1303,0.626,False,4.6881,2
custom door sign,fabricated,business,object,False,3.294,0.1285,0.561,False,3.0229,4
custom bar sign,ambiguous,consumer,object,False,2.542,0.0992,0.672,False,7.2,4
custom vinyl signs,printed,mixed,object,False,0.718,0.0463,0.775,False,4.7778,1
dimensional letters,fabricated,business,object,False,1.004,0.0392,0.809,False,5.76,3
channel letter sign,fabricated,business,object,False,0.87,0.0339,0.817,False,2.0,2
custom address plaque,fabricated,consumer,object,False,0.37,0.0144,0.947,False,,3
custom storefront sign,ambiguous,business,object,False,0.073,0.0028,0.985,False,,4
custom lobby sign,fabricated,business,object,False,0.053,0.0021,0.989,False,0.5,3
custom monument sign,fabricated,business,object,False,0.031,0.0012,0.992,False,-1.0,3
