seed_term,family,kind,query,value,formatted_value
custom decals,printed,top,car custom decals,100,100
custom decals,printed,top,car decals,95,95
custom decals,printed,top,vinyl decals,81,81
custom decals,printed,top,custom decals stickers,58,58
custom decals,printed,top,custom stickers,57,57
custom decals,printed,top,custom decals near me,28,28
custom decals,printed,top,rocket league custom decals,3,3
custom decals,printed,top,armored core 6 custom decals,1,1
custom decals,printed,rising,armored core 6 custom decals,18050,Breakout
custom decals,printed,rising,rocket league custom decals,160,+160%
custom metal signs,fabricated,top,custom metal sign,100,100
custom metal signs,fabricated,top,custom sign,99,99
custom metal signs,fabricated,top,metal sign,98,98
custom metal signs,fabricated,top,custom outdoor signs,44,44
custom metal signs,fabricated,top,custom metal signs near me,36,36
custom metal signs,fabricated,top,custom signs near me,36,36
custom metal signs,fabricated,top,personalized metal signs,19,19
custom metal signs,fabricated,top,custom yard signs,16,16
custom metal signs,fabricated,top,custom aluminum signs,14,14
custom metal signs,fabricated,top,custom metal signs for business,14,14
custom metal signs,fabricated,top,custom neon signs,9,9
custom metal signs,fabricated,rising,custom metal signs for business,80,+80%
custom metal signs,fabricated,rising,custom neon signs,80,+80%
custom metal signs,fabricated,rising,custom outdoor signs,50,+50%
custom wood signs,fabricated,top,custom wood signs for home,100,100
custom wood signs,fabricated,rising,custom wood signs for home,50,+50%
custom acrylic sign,fabricated,top,custom acrylic signs,100,100
custom led signs,fabricated,top,neon sign custom,100,100
custom led signs,fabricated,top,custom led signs for business,47,47
custom led signs,fabricated,rising,custom led signs for business,180,+180%
channel letter sign,fabricated,top,channel letter signs,100,100
dimensional letters,fabricated,top,dimensional letters and logos,100,100
custom address plaque,fabricated,top,custom address plaques,100,100
custom door sign,fabricated,top,custom door signs,100,100
custom bar sign,ambiguous,top,custom neon sign,100,100
custom bar sign,ambiguous,top,custom bar signs,89,89
