naics,label,band,establishments,share_of_establishments,total_establishments,total_employees,annual_payroll_usd
337920,Blind and shade manufacturing,<5,146,0.4438,329,11557,622602000
337920,Blind and shade manufacturing,5-9,51,0.155,329,11557,622602000
337920,Blind and shade manufacturing,10-19,44,0.1337,329,11557,622602000
337920,Blind and shade manufacturing,20-49,46,0.1398,329,11557,622602000
337920,Blind and shade manufacturing,50-99,18,0.0547,329,11557,622602000
337920,Blind and shade manufacturing,100-249,15,0.0456,329,11557,622602000
337920,Blind and shade manufacturing,250-499,3,0.0091,329,11557,622602000
337920,Blind and shade manufacturing,500-999,6,0.0182,329,11557,622602000
442291,Window treatment stores (retail),<5,1592,0.7336,2170,8548,431595000
442291,Window treatment stores (retail),5-9,395,0.182,2170,8548,431595000
442291,Window treatment stores (retail),10-19,141,0.065,2170,8548,431595000
442291,Window treatment stores (retail),20-49,37,0.0171,2170,8548,431595000
442291,Window treatment stores (retail),50-99,4,0.0018,2170,8548,431595000
238390,Other building finishing contractors,<5,4720,0.593,7960,78981,4782888000
238390,Other building finishing contractors,5-9,1369,0.172,7960,78981,4782888000
238390,Other building finishing contractors,10-19,934,0.1173,7960,78981,4782888000
238390,Other building finishing contractors,20-49,686,0.0862,7960,78981,4782888000
238390,Other building finishing contractors,50-99,169,0.0212,7960,78981,4782888000
238390,Other building finishing contractors,100-249,61,0.0077,7960,78981,4782888000
238390,Other building finishing contractors,250-499,18,0.0023,7960,78981,4782888000
238390,Other building finishing contractors,500-999,3,0.0004,7960,78981,4782888000
