year,product_code,product_line,naics,naics_label,channel,sales_usd_k,share_of_line_pct,establishments
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",00,Total for all sectors,,11803558.0,100.0,57159
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",314120,Curtain and linen mills,,16222.0,0.1,51
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",442110,Furniture stores,,84227.0,0.7,1003
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",442210,Floor covering stores,,138616.0,1.2,1919
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",442291,Window treatment stores,window_treatment_specialist,1404159.0,11.9,1816
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",442299,All other home furnishings stores,,162939.0,1.4,2350
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",443141,Household appliance stores,,65.0,0.0,12
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",443142,Electronics stores,,0.0,0.0,0
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",444110,Home centers,home_center,3974472.0,33.7,4703
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",444120,Paint and wallpaper stores,,31635.0,0.3,390
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",444130,Hardware stores,,22638.0,0.2,2924
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",444190,Other building material dealers,,20119.0,0.2,775
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",445110,Supermarkets and other grocery (except convenience) stores,,5057.0,0.0,1083
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",448110,Men's clothing stores,,170.0,0.0,25
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",448120,Women's clothing stores,,602.0,0.0,22
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",448140,Family clothing stores,,15036.0,0.1,559
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",451130,"Sewing, needlework, and piece goods stores",,0.0,0.0,0
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",452210,Department stores,,260199.0,2.2,1409
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",452311,Warehouse clubs and supercenters,,211432.0,1.8,2434
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",452319,All other general merchandise stores,,231590.0,2.0,32766
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",453220,"Gift, novelty, and souvenir stores",,107.0,0.0,19
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",453998,All other miscellaneous store retailers (except tobacco stores),,142.0,0.0,32
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",454110,Electronic shopping and mail-order houses,online_and_mail_order,3764692.0,31.9,235
2017,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",454390,Other direct selling establishments,direct_selling_in_home,1443419.0,12.2,2480
2022,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",00,Total for all sectors,,9634125.0,100.0,65753
2022,5000625000,"Retail sales of window treatments, including rods, poles, and fixtures",238990,All Other Specialty Trade Contractors,,0.0,0.0,0
