keyword,batch,geo_name,geo_code,index
dining table,0,Palm Springs CA,804,96
custom dining table,0,Palm Springs CA,804,1
solid wood dining table,0,Palm Springs CA,804,1
walnut dining table,0,Palm Springs CA,804,2
live edge dining table,0,Palm Springs CA,804,0
dining table,0,San Francisco-Oakland-San Jose CA,807,96
custom dining table,0,San Francisco-Oakland-San Jose CA,807,1
solid wood dining table,0,San Francisco-Oakland-San Jose CA,807,2
walnut dining table,0,San Francisco-Oakland-San Jose CA,807,1
live edge dining table,0,San Francisco-Oakland-San Jose CA,807,0
dining table,0,San Diego CA,825,96
custom dining table,0,San Diego CA,825,1
solid wood dining table,0,San Diego CA,825,2
walnut dining table,0,San Diego CA,825,1
live edge dining table,0,San Diego CA,825,0
dining table,0,Los Angeles CA,803,96
custom dining table,0,Los Angeles CA,803,1
solid wood dining table,0,Los Angeles CA,803,2
walnut dining table,0,Los Angeles CA,803,1
live edge dining table,0,Los Angeles CA,803,0
dining table,0,Sacramento-Stockton-Modesto CA,862,96
custom dining table,0,Sacramento-Stockton-Modesto CA,862,1
solid wood dining table,0,Sacramento-Stockton-Modesto CA,862,2
walnut dining table,0,Sacramento-Stockton-Modesto CA,862,1
live edge dining table,0,Sacramento-Stockton-Modesto CA,862,0
dining table,0,Santa Barbara-Santa Maria-San Luis Obispo CA,855,96
custom dining table,0,Santa Barbara-Santa Maria-San Luis Obispo CA,855,1
solid wood dining table,0,Santa Barbara-Santa Maria-San Luis Obispo CA,855,2
walnut dining table,0,Santa Barbara-Santa Maria-San Luis Obispo CA,855,1
live edge dining table,0,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
dining table,0,Reno NV,811,95
custom dining table,0,Reno NV,811,0
solid wood dining table,0,Reno NV,811,2
walnut dining table,0,Reno NV,811,1
live edge dining table,0,Reno NV,811,2
dining table,0,Fresno-Visalia CA,866,97
custom dining table,0,Fresno-Visalia CA,866,0
solid wood dining table,0,Fresno-Visalia CA,866,2
walnut dining table,0,Fresno-Visalia CA,866,1
live edge dining table,0,Fresno-Visalia CA,866,0
dining table,0,Monterey-Salinas CA,828,96
custom dining table,0,Monterey-Salinas CA,828,1
solid wood dining table,0,Monterey-Salinas CA,828,2
walnut dining table,0,Monterey-Salinas CA,828,1
live edge dining table,0,Monterey-Salinas CA,828,0
dining table,0,Bakersfield CA,800,97
custom dining table,0,Bakersfield CA,800,0
solid wood dining table,0,Bakersfield CA,800,2
walnut dining table,0,Bakersfield CA,800,1
live edge dining table,0,Bakersfield CA,800,0
dining table,0,Yuma AZ-El Centro CA,771,97
custom dining table,0,Yuma AZ-El Centro CA,771,1
solid wood dining table,0,Yuma AZ-El Centro CA,771,2
walnut dining table,0,Yuma AZ-El Centro CA,771,0
live edge dining table,0,Yuma AZ-El Centro CA,771,0
dining table,0,Chico-Redding CA,868,96
custom dining table,0,Chico-Redding CA,868,0
solid wood dining table,0,Chico-Redding CA,868,2
walnut dining table,0,Chico-Redding CA,868,1
live edge dining table,0,Chico-Redding CA,868,1
dining table,0,Medford-Klamath Falls OR,813,94
custom dining table,0,Medford-Klamath Falls OR,813,1
solid wood dining table,0,Medford-Klamath Falls OR,813,2
walnut dining table,0,Medford-Klamath Falls OR,813,2
live edge dining table,0,Medford-Klamath Falls OR,813,1
dining table,0,Eureka CA,802,97
custom dining table,0,Eureka CA,802,0
solid wood dining table,0,Eureka CA,802,3
walnut dining table,0,Eureka CA,802,0
live edge dining table,0,Eureka CA,802,0
dining table,1,Palm Springs CA,804,94
custom furniture,1,Palm Springs CA,804,6
handmade dining table,1,Palm Springs CA,804,0
reclaimed wood dining table,1,Palm Springs CA,804,0
custom wood desk,1,Palm Springs CA,804,0
dining table,1,San Francisco-Oakland-San Jose CA,807,96
custom furniture,1,San Francisco-Oakland-San Jose CA,807,4
handmade dining table,1,San Francisco-Oakland-San Jose CA,807,0
reclaimed wood dining table,1,San Francisco-Oakland-San Jose CA,807,0
custom wood desk,1,San Francisco-Oakland-San Jose CA,807,0
dining table,1,San Diego CA,825,96
custom furniture,1,San Diego CA,825,4
handmade dining table,1,San Diego CA,825,0
reclaimed wood dining table,1,San Diego CA,825,0
custom wood desk,1,San Diego CA,825,0
dining table,1,Los Angeles CA,803,95
custom furniture,1,Los Angeles CA,803,5
handmade dining table,1,Los Angeles CA,803,0
reclaimed wood dining table,1,Los Angeles CA,803,0
custom wood desk,1,Los Angeles CA,803,0
dining table,1,Sacramento-Stockton-Modesto CA,862,97
custom furniture,1,Sacramento-Stockton-Modesto CA,862,3
handmade dining table,1,Sacramento-Stockton-Modesto CA,862,0
reclaimed wood dining table,1,Sacramento-Stockton-Modesto CA,862,0
custom wood desk,1,Sacramento-Stockton-Modesto CA,862,0
dining table,1,Santa Barbara-Santa Maria-San Luis Obispo CA,855,96
custom furniture,1,Santa Barbara-Santa Maria-San Luis Obispo CA,855,4
handmade dining table,1,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
reclaimed wood dining table,1,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
custom wood desk,1,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
dining table,1,Reno NV,811,96
custom furniture,1,Reno NV,811,4
handmade dining table,1,Reno NV,811,0
reclaimed wood dining table,1,Reno NV,811,0
custom wood desk,1,Reno NV,811,0
dining table,1,Fresno-Visalia CA,866,97
custom furniture,1,Fresno-Visalia CA,866,3
handmade dining table,1,Fresno-Visalia CA,866,0
reclaimed wood dining table,1,Fresno-Visalia CA,866,0
custom wood desk,1,Fresno-Visalia CA,866,0
dining table,1,Monterey-Salinas CA,828,96
custom furniture,1,Monterey-Salinas CA,828,4
handmade dining table,1,Monterey-Salinas CA,828,0
