keyword,batch,is_anchor,date,timestamp,raw_index,anchor_scaled
dining table,0,True,"Aug 22 – 28, 2021",1629590400,30,1.0369
custom dining table,0,False,"Aug 22 – 28, 2021",1629590400,0,0.0
solid wood dining table,0,False,"Aug 22 – 28, 2021",1629590400,0,0.0
walnut dining table,0,False,"Aug 22 – 28, 2021",1629590400,0,0.0
live edge dining table,0,False,"Aug 22 – 28, 2021",1629590400,0,0.0
dining table,0,True,"Aug 29 – Sep 4, 2021",1630195200,31,1.0715
custom dining table,0,False,"Aug 29 – Sep 4, 2021",1630195200,0,0.0
solid wood dining table,0,False,"Aug 29 – Sep 4, 2021",1630195200,0,0.0
walnut dining table,0,False,"Aug 29 – Sep 4, 2021",1630195200,0,0.0
live edge dining table,0,False,"Aug 29 – Sep 4, 2021",1630195200,0,0.0
dining table,0,True,"Sep 5 – 11, 2021",1630800000,32,1.1061
custom dining table,0,False,"Sep 5 – 11, 2021",1630800000,0,0.0
solid wood dining table,0,False,"Sep 5 – 11, 2021",1630800000,0,0.0
walnut dining table,0,False,"Sep 5 – 11, 2021",1630800000,0,0.0
live edge dining table,0,False,"Sep 5 – 11, 2021",1630800000,0,0.0
dining table,0,True,"Sep 12 – 18, 2021",1631404800,31,1.0715
custom dining table,0,False,"Sep 12 – 18, 2021",1631404800,0,0.0
solid wood dining table,0,False,"Sep 12 – 18, 2021",1631404800,1,0.0346
walnut dining table,0,False,"Sep 12 – 18, 2021",1631404800,0,0.0
live edge dining table,0,False,"Sep 12 – 18, 2021",1631404800,0,0.0
dining table,0,True,"Sep 19 – 25, 2021",1632009600,29,1.0024
custom dining table,0,False,"Sep 19 – 25, 2021",1632009600,0,0.0
solid wood dining table,0,False,"Sep 19 – 25, 2021",1632009600,0,0.0
walnut dining table,0,False,"Sep 19 – 25, 2021",1632009600,0,0.0
live edge dining table,0,False,"Sep 19 – 25, 2021",1632009600,0,0.0
dining table,0,True,"Sep 26 – Oct 2, 2021",1632614400,30,1.0369
custom dining table,0,False,"Sep 26 – Oct 2, 2021",1632614400,0,0.0
solid wood dining table,0,False,"Sep 26 – Oct 2, 2021",1632614400,0,0.0
walnut dining table,0,False,"Sep 26 – Oct 2, 2021",1632614400,0,0.0
live edge dining table,0,False,"Sep 26 – Oct 2, 2021",1632614400,0,0.0
dining table,0,True,"Oct 3 – 9, 2021",1633219200,30,1.0369
custom dining table,0,False,"Oct 3 – 9, 2021",1633219200,0,0.0
solid wood dining table,0,False,"Oct 3 – 9, 2021",1633219200,0,0.0
walnut dining table,0,False,"Oct 3 – 9, 2021",1633219200,0,0.0
live edge dining table,0,False,"Oct 3 – 9, 2021",1633219200,0,0.0
dining table,0,True,"Oct 10 – 16, 2021",1633824000,31,1.0715
custom dining table,0,False,"Oct 10 – 16, 2021",1633824000,0,0.0
solid wood dining table,0,False,"Oct 10 – 16, 2021",1633824000,0,0.0
walnut dining table,0,False,"Oct 10 – 16, 2021",1633824000,0,0.0
live edge dining table,0,False,"Oct 10 – 16, 2021",1633824000,0,0.0
dining table,0,True,"Oct 17 – 23, 2021",1634428800,29,1.0024
custom dining table,0,False,"Oct 17 – 23, 2021",1634428800,0,0.0
solid wood dining table,0,False,"Oct 17 – 23, 2021",1634428800,0,0.0
walnut dining table,0,False,"Oct 17 – 23, 2021",1634428800,0,0.0
live edge dining table,0,False,"Oct 17 – 23, 2021",1634428800,0,0.0
dining table,0,True,"Oct 24 – 30, 2021",1635033600,28,0.9678
custom dining table,0,False,"Oct 24 – 30, 2021",1635033600,0,0.0
solid wood dining table,0,False,"Oct 24 – 30, 2021",1635033600,0,0.0
walnut dining table,0,False,"Oct 24 – 30, 2021",1635033600,0,0.0
live edge dining table,0,False,"Oct 24 – 30, 2021",1635033600,0,0.0
dining table,0,True,"Oct 31 – Nov 6, 2021",1635638400,31,1.0715
custom dining table,0,False,"Oct 31 – Nov 6, 2021",1635638400,0,0.0
solid wood dining table,0,False,"Oct 31 – Nov 6, 2021",1635638400,0,0.0
walnut dining table,0,False,"Oct 31 – Nov 6, 2021",1635638400,0,0.0
live edge dining table,0,False,"Oct 31 – Nov 6, 2021",1635638400,0,0.0
dining table,0,True,"Nov 7 – 13, 2021",1636243200,34,1.1752
custom dining table,0,False,"Nov 7 – 13, 2021",1636243200,0,0.0
solid wood dining table,0,False,"Nov 7 – 13, 2021",1636243200,0,0.0
walnut dining table,0,False,"Nov 7 – 13, 2021",1636243200,0,0.0
live edge dining table,0,False,"Nov 7 – 13, 2021",1636243200,0,0.0
dining table,0,True,"Nov 14 – 20, 2021",1636848000,34,1.1752
custom dining table,0,False,"Nov 14 – 20, 2021",1636848000,0,0.0
solid wood dining table,0,False,"Nov 14 – 20, 2021",1636848000,1,0.0346
walnut dining table,0,False,"Nov 14 – 20, 2021",1636848000,0,0.0
live edge dining table,0,False,"Nov 14 – 20, 2021",1636848000,0,0.0
dining table,0,True,"Nov 21 – 27, 2021",1637452800,37,1.2789
custom dining table,0,False,"Nov 21 – 27, 2021",1637452800,0,0.0
solid wood dining table,0,False,"Nov 21 – 27, 2021",1637452800,0,0.0
walnut dining table,0,False,"Nov 21 – 27, 2021",1637452800,0,0.0
live edge dining table,0,False,"Nov 21 – 27, 2021",1637452800,0,0.0
dining table,0,True,"Nov 28 – Dec 4, 2021",1638057600,33,1.1406
custom dining table,0,False,"Nov 28 – Dec 4, 2021",1638057600,0,0.0
solid wood dining table,0,False,"Nov 28 – Dec 4, 2021",1638057600,0,0.0
walnut dining table,0,False,"Nov 28 – Dec 4, 2021",1638057600,0,0.0
live edge dining table,0,False,"Nov 28 – Dec 4, 2021",1638057600,0,0.0
dining table,0,True,"Dec 5 – 11, 2021",1638662400,28,0.9678
custom dining table,0,False,"Dec 5 – 11, 2021",1638662400,0,0.0
solid wood dining table,0,False,"Dec 5 – 11, 2021",1638662400,0,0.0
walnut dining table,0,False,"Dec 5 – 11, 2021",1638662400,0,0.0
