geo_level,fips,county,naics,naics_label,estab,employees,annual_payroll_k,estab_under_5_emp
us,00000,United States,236118,Residential remodelers,133345,462690,25469622,108412
us,00000,United States,238350,Finish carpentry contractors,32169,168430,9697606,23759
us,00000,United States,321918,Other millwork (incl. flooring),1516,35989,1772106,622
us,00000,United States,337///,Furniture and related product manufacturing,14606,371164,18476517,6846
us,00000,United States,3371//,Household and institutional furniture,10187,230036,10570964,5278
us,00000,United States,337110,Wood kitchen cabinet and countertop manufacturing,6118,102338,4853916,3279
us,00000,United States,33712/,Household and institutional furniture (nonupholstered wood group),4069,127698,5717048,1999
us,00000,United States,337122,Nonupholstered wood household furniture,2126,23526,970094,1280
us,00000,United States,337127,Institutional furniture,530,20734,1158006,124
us,00000,United States,3372//,Office furniture (incl. fixtures),3687,105895,6094911,1317
us,00000,United States,337211,Wood office furniture,307,13611,751377,117
us,00000,United States,337212,Custom architectural woodwork and millwork,2352,43464,2564139,870
us,00000,United States,423210,Furniture merchant wholesalers,5186,70390,5370041,2706
us,00000,United States,442110,Furniture stores (retail),22286,197264,9905306,11783
us,00000,United States,453310,Used merchandise stores,19186,209147,4959511,8438
bay_area_county,06001,Alameda,236118,Residential remodelers,744,3852,277389,540
bay_area_county,06001,Alameda,238350,Finish carpentry contractors,99,1150,93567,57
bay_area_county,06001,Alameda,321918,Other millwork (incl. flooring),3,19,1509,0
bay_area_county,06001,Alameda,337///,Furniture and related product manufacturing,65,1085,80401,33
bay_area_county,06001,Alameda,3371//,Household and institutional furniture,41,344,25510,25
bay_area_county,06001,Alameda,337110,Wood kitchen cabinet and countertop manufacturing,28,248,19403,18
bay_area_county,06001,Alameda,33712/,Household and institutional furniture (nonupholstered wood group),13,96,6107,7
bay_area_county,06001,Alameda,337122,Nonupholstered wood household furniture,8,68,4398,4
bay_area_county,06001,Alameda,3372//,Office furniture (incl. fixtures),23,703,52219,8
bay_area_county,06001,Alameda,337211,Wood office furniture,9,238,12527,0
bay_area_county,06001,Alameda,337212,Custom architectural woodwork and millwork,8,251,27186,0
bay_area_county,06001,Alameda,423210,Furniture merchant wholesalers,37,550,44056,18
bay_area_county,06001,Alameda,442110,Furniture stores (retail),87,894,42802,58
bay_area_county,06001,Alameda,453310,Used merchandise stores,79,876,30153,30
ca_other_county,06005,CA county 005,236118,Residential remodelers,9,18,892,7
ca_other_county,06005,CA county 005,453310,Used merchandise stores,3,29,950,0
ca_other_county,06007,CA county 007,236118,Residential remodelers,95,533,25598,75
ca_other_county,06007,CA county 007,238350,Finish carpentry contractors,10,40,1631,7
ca_other_county,06007,CA county 007,337///,Furniture and related product manufacturing,11,65,3050,8
ca_other_county,06007,CA county 007,3371//,Household and institutional furniture,11,65,3050,8
ca_other_county,06007,CA county 007,337110,Wood kitchen cabinet and countertop manufacturing,10,63,3023,7
ca_other_county,06007,CA county 007,442110,Furniture stores (retail),15,120,4984,4
ca_other_county,06007,CA county 007,453310,Used merchandise stores,17,240,5730,6
ca_other_county,06009,CA county 009,236118,Residential remodelers,25,68,2663,20
ca_other_county,06009,CA county 009,238350,Finish carpentry contractors,7,15,340,7
ca_other_county,06009,CA county 009,337///,Furniture and related product manufacturing,3,8,288,3
ca_other_county,06009,CA county 009,3371//,Household and institutional furniture,3,8,288,3
ca_other_county,06009,CA county 009,453310,Used merchandise stores,3,9,231,0
ca_other_county,06011,CA county 011,236118,Residential remodelers,6,25,1091,3
bay_area_county,06013,Contra Costa,236118,Residential remodelers,704,3116,203992,522
bay_area_county,06013,Contra Costa,238350,Finish carpentry contractors,66,410,27401,44
bay_area_county,06013,Contra Costa,337///,Furniture and related product manufacturing,28,649,38100,14
bay_area_county,06013,Contra Costa,3371//,Household and institutional furniture,20,364,23596,11
bay_area_county,06013,Contra Costa,337110,Wood kitchen cabinet and countertop manufacturing,12,320,20960,6
bay_area_county,06013,Contra Costa,33712/,Household and institutional furniture (nonupholstered wood group),8,44,2636,5
bay_area_county,06013,Contra Costa,337122,Nonupholstered wood household furniture,6,30,1541,4
bay_area_county,06013,Contra Costa,3372//,Office furniture (incl. fixtures),3,24,1319,0
bay_area_county,06013,Contra Costa,337212,Custom architectural woodwork and millwork,3,24,1319,0
bay_area_county,06013,Contra Costa,423210,Furniture merchant wholesalers,11,316,35195,6
bay_area_county,06013,Contra Costa,442110,Furniture stores (retail),61,294,15743,39
bay_area_county,06013,Contra Costa,453310,Used merchandise stores,37,294,10575,11
ca_other_county,06015,CA county 015,236118,Residential remodelers,8,16,478,7
ca_other_county,06017,CA county 017,236118,Residential remodelers,135,482,25741,108
ca_other_county,06017,CA county 017,238350,Finish carpentry contractors,20,50,2461,17
ca_other_county,06017,CA county 017,337///,Furniture and related product manufacturing,7,31,1375,4
ca_other_county,06017,CA county 017,3371//,Household and institutional furniture,5,22,926,3
ca_other_county,06017,CA county 017,337110,Wood kitchen cabinet and countertop manufacturing,3,14,671,0
ca_other_county,06017,CA county 017,442110,Furniture stores (retail),3,7,226,3
ca_other_county,06017,CA county 017,453310,Used merchandise stores,6,48,1602,0
ca_other_county,06019,CA county 019,236118,Residential remodelers,199,981,45817,147
ca_other_county,06019,CA county 019,238350,Finish carpentry contractors,55,434,20468,35
ca_other_county,06019,CA county 019,337///,Furniture and related product manufacturing,23,317,14111,12
ca_other_county,06019,CA county 019,3371//,Household and institutional furniture,15,77,4077,9
ca_other_county,06019,CA county 019,337110,Wood kitchen cabinet and countertop manufacturing,11,48,2414,7
ca_other_county,06019,CA county 019,33712/,Household and institutional furniture (nonupholstered wood group),4,29,1663,0
ca_other_county,06019,CA county 019,3372//,Office furniture (incl. fixtures),3,51,2658,0
ca_other_county,06019,CA county 019,423210,Furniture merchant wholesalers,7,98,7685,0
ca_other_county,06019,CA county 019,442110,Furniture stores (retail),58,400,20132,36
ca_other_county,06019,CA county 019,453310,Used merchandise stores,36,510,11397,9
ca_other_county,06021,CA county 021,236118,Residential remodelers,7,14,555,6
ca_other_county,06021,CA county 021,337///,Furniture and related product manufacturing,3,12,428,0
ca_other_county,06021,CA county 021,3371//,Household and institutional furniture,3,12,428,0
ca_other_county,06021,CA county 021,337110,Wood kitchen cabinet and countertop manufacturing,3,12,428,0
ca_other_county,06023,CA county 023,236118,Residential remodelers,62,177,7483,51
ca_other_county,06023,CA county 023,238350,Finish carpentry contractors,4,10,436,3
ca_other_county,06023,CA county 023,337///,Furniture and related product manufacturing,6,57,2927,3
ca_other_county,06023,CA county 023,3372//,Office furniture (incl. fixtures),4,46,2501,0
ca_other_county,06023,CA county 023,337212,Custom architectural woodwork and millwork,3,44,2490,0
ca_other_county,06023,CA county 023,442110,Furniture stores (retail),7,75,2685,0
ca_other_county,06023,CA county 023,453310,Used merchandise stores,18,118,2558,9
ca_other_county,06025,CA county 025,236118,Residential remodelers,22,231,13052,11
ca_other_county,06025,CA county 025,442110,Furniture stores (retail),7,29,866,4
ca_other_county,06027,CA county 027,236118,Residential remodelers,11,16,1258,11
ca_other_county,06029,CA county 029,236118,Residential remodelers,135,478,21770,103
ca_other_county,06029,CA county 029,238350,Finish carpentry contractors,35,134,5290,27
ca_other_county,06029,CA county 029,337///,Furniture and related product manufacturing,24,153,6552,11
ca_other_county,06029,CA county 029,3371//,Household and institutional furniture,19,93,4277,9
ca_other_county,06029,CA county 029,337110,Wood kitchen cabinet and countertop manufacturing,15,72,3623,7
ca_other_county,06029,CA county 029,33712/,Household and institutional furniture (nonupholstered wood group),4,21,654,0
ca_other_county,06029,CA county 029,3372//,Office furniture (incl. fixtures),4,53,2013,0
ca_other_county,06029,CA county 029,423210,Furniture merchant wholesalers,3,40,10867,0
ca_other_county,06029,CA county 029,442110,Furniture stores (retail),41,473,14872,25
ca_other_county,06029,CA county 029,453310,Used merchandise stores,29,378,10311,8
ca_other_county,06031,CA county 031,236118,Residential remodelers,19,61,2773,13
ca_other_county,06031,CA county 031,337///,Furniture and related product manufacturing,3,44,2280,0
ca_other_county,06031,CA county 031,3371//,Household and institutional furniture,3,44,2280,0
ca_other_county,06031,CA county 031,442110,Furniture stores (retail),3,53,1999,0
ca_other_county,06031,CA county 031,453310,Used merchandise stores,4,34,647,0
ca_other_county,06033,CA county 033,236118,Residential remodelers,29,201,4570,20
ca_other_county,06033,CA county 033,238350,Finish carpentry contractors,4,18,729,3
ca_other_county,06033,CA county 033,337///,Furniture and related product manufacturing,6,18,515,5
ca_other_county,06033,CA county 033,3371//,Household and institutional furniture,6,18,515,5
ca_other_county,06033,CA county 033,337110,Wood kitchen cabinet and countertop manufacturing,5,14,460,4
ca_other_county,06033,CA county 033,453310,Used merchandise stores,4,6,372,4
ca_other_county,06035,CA county 035,236118,Residential remodelers,4,8,261,3
ca_other_county,06037,CA county 037,236118,Residential remodelers,3727,12861,696399,2986
ca_other_county,06037,CA county 037,238350,Finish carpentry contractors,545,2434,128460,382
ca_other_county,06037,CA county 037,321918,Other millwork (incl. flooring),22,595,26592,13
ca_other_county,06037,CA county 037,337///,Furniture and related product manufacturing,579,10040,509748,271
ca_other_county,06037,CA county 037,3371//,Household and institutional furniture,402,6517,325603,188
ca_other_county,06037,CA county 037,337110,Wood kitchen cabinet and countertop manufacturing,170,2019,111957,93
ca_other_county,06037,CA county 037,33712/,Household and institutional furniture (nonupholstered wood group),232,4498,213646,95
ca_other_county,06037,CA county 037,337122,Nonupholstered wood household furniture,84,651,25736,43
ca_other_county,06037,CA county 037,337127,Institutional furniture,23,980,54349,4
ca_other_county,06037,CA county 037,3372//,Office furniture (incl. fixtures),126,1974,107111,60
ca_other_county,06037,CA county 037,337211,Wood office furniture,17,244,13130,8
ca_other_county,06037,CA county 037,337212,Custom architectural woodwork and millwork,50,890,51279,23
ca_other_county,06037,CA county 037,423210,Furniture merchant wholesalers,345,4041,305183,184
ca_other_county,06037,CA county 037,442110,Furniture stores (retail),593,5678,301145,378
ca_other_county,06037,CA county 037,453310,Used merchandise stores,445,4180,154447,197
ca_other_county,06039,CA county 039,236118,Residential remodelers,44,389,20107,31
ca_other_county,06039,CA county 039,238350,Finish carpentry contractors,5,13,506,4
ca_other_county,06039,CA county 039,337///,Furniture and related product manufacturing,4,50,1716,0
ca_other_county,06039,CA county 039,3371//,Household and institutional furniture,3,40,1356,0
ca_other_county,06039,CA county 039,442110,Furniture stores (retail),3,12,261,0
ca_other_county,06039,CA county 039,453310,Used merchandise stores,7,42,1234,4
bay_area_county,06041,Marin,236118,Residential remodelers,393,2278,192155,271
bay_area_county,06041,Marin,238350,Finish carpentry contractors,28,141,8980,19
bay_area_county,06041,Marin,337///,Furniture and related product manufacturing,18,57,3438,15
bay_area_county,06041,Marin,3371//,Household and institutional furniture,15,51,2900,12
bay_area_county,06041,Marin,337110,Wood kitchen cabinet and countertop manufacturing,10,36,2181,8
bay_area_county,06041,Marin,33712/,Household and institutional furniture (nonupholstered wood group),5,15,719,4
bay_area_county,06041,Marin,337122,Nonupholstered wood household furniture,4,13,686,3
bay_area_county,06041,Marin,423210,Furniture merchant wholesalers,4,16,2007,3
bay_area_county,06041,Marin,442110,Furniture stores (retail),25,96,5497,20
bay_area_county,06041,Marin,453310,Used merchandise stores,20,139,4864,9
ca_other_county,06043,CA county 043,236118,Residential remodelers,12,52,2383,8
ca_other_county,06045,CA county 045,236118,Residential remodelers,66,223,10528,49
ca_other_county,06045,CA county 045,238350,Finish carpentry contractors,9,59,2443,6
ca_other_county,06045,CA county 045,337///,Furniture and related product manufacturing,5,13,739,4
ca_other_county,06045,CA county 045,442110,Furniture stores (retail),3,21,695,0
ca_other_county,06045,CA county 045,453310,Used merchandise stores,11,76,1899,5
ca_other_county,06047,CA county 047,236118,Residential remodelers,58,259,11750,47
ca_other_county,06047,CA county 047,238350,Finish carpentry contractors,10,37,1429,7
ca_other_county,06047,CA county 047,337///,Furniture and related product manufacturing,5,50,2054,0
ca_other_county,06047,CA county 047,3371//,Household and institutional furniture,5,50,2054,0
ca_other_county,06047,CA county 047,337110,Wood kitchen cabinet and countertop manufacturing,3,10,326,0
ca_other_county,06047,CA county 047,442110,Furniture stores (retail),9,44,1904,6
ca_other_county,06047,CA county 047,453310,Used merchandise stores,9,70,1926,5
ca_other_county,06049,CA county 049,236118,Residential remodelers,6,14,433,5
ca_other_county,06051,CA county 051,236118,Residential remodelers,20,62,3242,16
ca_other_county,06053,CA county 053,236118,Residential remodelers,225,1037,66462,159
ca_other_county,06053,CA county 053,238350,Finish carpentry contractors,35,290,21119,22
ca_other_county,06053,CA county 053,337///,Furniture and related product manufacturing,15,433,24980,9
ca_other_county,06053,CA county 053,3371//,Household and institutional furniture,13,428,24623,8
ca_other_county,06053,CA county 053,337110,Wood kitchen cabinet and countertop manufacturing,11,421,24508,6
ca_other_county,06053,CA county 053,423210,Furniture merchant wholesalers,3,18,1698,0
ca_other_county,06053,CA county 053,442110,Furniture stores (retail),27,140,7197,18
ca_other_county,06053,CA county 053,453310,Used merchandise stores,29,309,9710,11
bay_area_county,06055,Napa,236118,Residential remodelers,119,507,33421,86
bay_area_county,06055,Napa,238350,Finish carpentry contractors,14,72,4075,7
bay_area_county,06055,Napa,337///,Furniture and related product manufacturing,8,18,812,7
bay_area_county,06055,Napa,3371//,Household and institutional furniture,7,15,755,6
bay_area_county,06055,Napa,337110,Wood kitchen cabinet and countertop manufacturing,4,8,260,4
bay_area_county,06055,Napa,33712/,Household and institutional furniture (nonupholstered wood group),3,7,495,0
bay_area_county,06055,Napa,337122,Nonupholstered wood household furniture,3,7,495,0
bay_area_county,06055,Napa,442110,Furniture stores (retail),5,10,568,5
bay_area_county,06055,Napa,453310,Used merchandise stores,14,74,1976,7
ca_other_county,06057,CA county 057,236118,Residential remodelers,134,419,26442,105
ca_other_county,06057,CA county 057,238350,Finish carpentry contractors,13,48,3000,10
