keyword,raw_vs_custom_furniture,related_queries_seen,furniture_share_of_related,adjusted_index,commercial_intent_queries,top_related
custom cabinets,1.0543,16,1.0,1.0543,5,custom cabinets near me | custom cabinets cost | ikea custom cabinets | custom cabinetry | custom cabinets design
custom furniture,1.0,8,0.859,0.8591,4,custom furniture near me | custom furniture design | custom furniture covers | custom furniture online | custom furniture maker
custom bar,1.2025,7,0.466,0.5605,0,custom bars | custom bar sign | custom bar cabinet | custom bar necklace | custom bar signs
custom desk,0.6652,5,0.482,0.3205,0,custom desk top | custom desk mat | ikea custom desk | custom desk pad | custom desk sign
custom chair,0.6937,3,0.417,0.289,0,custom chairs | custom chair covers | custom chair cushions
custom vanity,0.3422,8,0.75,0.2566,0,custom vanity bathroom | custom vanity top | custom vanity cabinet | custom vanity mirror | custom vanity plate
custom dining table,0.2088,1,1.0,0.2088,0,custom dining tables
custom coffee table,0.1801,2,1.0,0.1801,0,custom coffee table book | custom coffee tables
custom bed frame,0.1388,1,1.0,0.1388,0,custom bed frames
custom bench,0.3117,5,0.36,0.1121,0,custom bench seat | custom bench cushion | custom cushions | bench cushions | custom bench seats
custom shelving,0.1029,1,1.0,0.1029,0,custom shelving units
custom sofa,0.4796,3,0.184,0.0881,0,custom sofa covers | custom sofa cushions | custom sofas
custom stool,0.0806,1,1.0,0.0806,0,custom stools
custom kitchen island,0.0731,1,1.0,0.0731,0,custom kitchen islands
custom wardrobe,0.0548,11,1.0,0.0548,1,custom closet | ikea custom wardrobe | ikea wardrobe | ikea | custom wardrobe doors
custom dining chair,0.048,1,1.0,0.048,0,custom dining chairs
custom mantel,0.007,2,1.0,0.007,0,custom mantel shelf | custom mantels
custom conference table,0.0058,1,1.0,0.0058,0,custom conference tables
custom outdoor furniture,0.0698,1,0.0,0.0,0,custom outdoor furniture covers
custom closet,0.589,0,,,0,
custom bookshelf,0.0759,0,,,0,
custom headboard,0.0497,0,,,0,
custom console table,0.0413,0,,,0,
custom nightstand,0.0403,0,,,0,
custom built ins,0.007,0,,,0,
