rank,cbsa,name,year,population,cumulative_population,cumulative_share_of_us
1,35620,"New York-Newark-Jersey City, NY-NJ",2024,19940274.0,19940274.0,0.05863
2,31080,"Los Angeles-Long Beach-Anaheim, CA",2024,12927614.0,32867888.0,0.09664
3,16980,"Chicago-Naperville-Elgin, IL-IN",2024,9408576.0,42276464.0,0.1243
4,19100,"Dallas-Fort Worth-Arlington, TX",2024,8344032.0,50620496.0,0.14884
5,26420,"Houston-Pasadena-The Woodlands, TX",2024,7796182.0,58416678.0,0.17176
6,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2024,6457988.0,64874666.0,0.19075
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2024,6436489.0,71311155.0,0.20967
8,12060,"Atlanta-Sandy Springs-Roswell, GA",2024,6411149.0,77722304.0,0.22852
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2024,6330422.0,84052726.0,0.24713
10,38060,"Phoenix-Mesa-Chandler, AZ",2024,5186958.0,89239684.0,0.26238
11,14460,"Boston-Cambridge-Newton, MA-NH",2024,5025517.0,94265201.0,0.27716
12,40140,"Riverside-San Bernardino-Ontario, CA",2024,4744214.0,99009415.0,0.29111
13,41860,"San Francisco-Oakland-Fremont, CA",2024,4648486.0,103657901.0,0.30478
14,19820,"Detroit-Warren-Dearborn, MI",2024,4400578.0,108058479.0,0.31772
15,42660,"Seattle-Tacoma-Bellevue, WA",2024,4145494.0,112203973.0,0.3299
16,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2024,3757952.0,115961925.0,0.34095
17,45300,"Tampa-St. Petersburg-Clearwater, FL",2024,3424560.0,119386485.0,0.35102
18,41740,"San Diego-Chula Vista-Carlsbad, CA",2024,3298799.0,122685284.0,0.36072
19,19740,"Denver-Aurora-Centennial, CO",2024,3052498.0,125737782.0,0.3697
20,36740,"Orlando-Kissimmee-Sanford, FL",2024,2940513.0,128678295.0,0.37834
21,16740,"Charlotte-Concord-Gastonia, NC-SC",2024,2883370.0,131561665.0,0.38682
22,12580,"Baltimore-Columbia-Towson, MD",2024,2859024.0,134420689.0,0.39523
23,41180,"St. Louis, MO-IL",2024,2811927.0,137232616.0,0.40349
24,41700,"San Antonio-New Braunfels, TX",2024,2763006.0,139995622.0,0.41162
