naics,kind_of_business,year,month,period,sales_musd,seasonally_adjusted
442,Furniture and home furnishings stores,1992,1,1992-01,3699.0,False
442,Furniture and home furnishings stores,1992,2,1992-02,3759.0,False
442,Furniture and home furnishings stores,1992,3,1992-03,3997.0,False
442,Furniture and home furnishings stores,1992,4,1992-04,3981.0,False
442,Furniture and home furnishings stores,1992,5,1992-05,4109.0,False
442,Furniture and home furnishings stores,1992,6,1992-06,4188.0,False
442,Furniture and home furnishings stores,1992,7,1992-07,4237.0,False
442,Furniture and home furnishings stores,1992,8,1992-08,4273.0,False
442,Furniture and home furnishings stores,1992,9,1992-09,4161.0,False
442,Furniture and home furnishings stores,1992,10,1992-10,4324.0,False
442,Furniture and home furnishings stores,1992,11,1992-11,4508.0,False
442,Furniture and home furnishings stores,1992,12,1992-12,5086.0,False
442,Furniture and home furnishings stores,1993,1,1993-01,3954.0,False
442,Furniture and home furnishings stores,1993,2,1993-02,3766.0,False
442,Furniture and home furnishings stores,1993,3,1993-03,4209.0,False
442,Furniture and home furnishings stores,1993,4,1993-04,4212.0,False
442,Furniture and home furnishings stores,1993,5,1993-05,4370.0,False
442,Furniture and home furnishings stores,1993,6,1993-06,4402.0,False
442,Furniture and home furnishings stores,1993,7,1993-07,4513.0,False
442,Furniture and home furnishings stores,1993,8,1993-08,4561.0,False
442,Furniture and home furnishings stores,1993,9,1993-09,4455.0,False
442,Furniture and home furnishings stores,1993,10,1993-10,4602.0,False
442,Furniture and home furnishings stores,1993,11,1993-11,4976.0,False
442,Furniture and home furnishings stores,1993,12,1993-12,5432.0,False
442,Furniture and home furnishings stores,1994,1,1994-01,3881.0,False
442,Furniture and home furnishings stores,1994,2,1994-02,4000.0,False
442,Furniture and home furnishings stores,1994,3,1994-03,4658.0,False
442,Furniture and home furnishings stores,1994,4,1994-04,4538.0,False
442,Furniture and home furnishings stores,1994,5,1994-05,4698.0,False
442,Furniture and home furnishings stores,1994,6,1994-06,4784.0,False
442,Furniture and home furnishings stores,1994,7,1994-07,4809.0,False
442,Furniture and home furnishings stores,1994,8,1994-08,5172.0,False
