step,value,unit,basis
US consumer units,135761000.0,households,CEX CONSUNIT 2024
US spend on kitchen & dining room furniture,5304566000.0,usd/yr,"CEX item 290410 x CONSUNIT, summed over income quintiles, 2024"
Bay Area population share,0.023258348830529404,share,Census PEP vintage 2024
West-region spend factor,1.1282051282051282,x,"CEX 290410 West / all CUs, 2024"
Top-quintile spend factor,2.358974358974359,x,"CEX 290410 Q5 / all CUs, 2024"
Bay Area households,3157576.6955815023,households,US consumer units x Bay Area population share (ACS gives the exact count once CENSUS_API_KEY is set)
Bay Area dining-furniture pool (conservative),123145491.12767859,usd/yr,"households x CEX 290410 per-CU spend, conservative factor"
Bay Area dining-furniture pool (base),138933374.6055861,usd/yr,"households x CEX 290410 per-CU spend, base factor"
Bay Area dining-furniture pool (affluence_adjusted),290497055.9934982,usd/yr,"households x CEX 290410 per-CU spend, affluence_adjusted factor"
Custom search share,0.0055240458015267165,share,"Google Trends, mean anchor-scaled interest of 'custom dining table' vs 'dining table', California, 5 years"
Bay Area custom/solid-wood pool (low price multiple 3.0x),2302422.9740457796,usd/yr,base pool x custom search share x price multiple
Bay Area custom/solid-wood pool (base price multiple 5.0x),3837371.6234096326,usd/yr,base pool x custom search share x price multiple
Bay Area custom/solid-wood pool (high price multiple 8.0x),6139794.597455412,usd/yr,base pool x custom search share x price multiple
