keyword,batch,geo_name,geo_code,index
dining table,0,Wyoming,US-WY,9
sofa,0,Wyoming,US-WY,33
bed frame,0,Wyoming,US-WY,10
desk,0,Wyoming,US-WY,41
bookshelf,0,Wyoming,US-WY,7
dining table,0,New Jersey,US-NJ,13
sofa,0,New Jersey,US-NJ,29
bed frame,0,New Jersey,US-NJ,11
desk,0,New Jersey,US-NJ,42
bookshelf,0,New Jersey,US-NJ,5
dining table,0,New York,US-NY,11
sofa,0,New York,US-NY,30
bed frame,0,New York,US-NY,11
desk,0,New York,US-NY,43
bookshelf,0,New York,US-NY,5
dining table,0,District of Columbia,US-DC,10
sofa,0,District of Columbia,US-DC,26
bed frame,0,District of Columbia,US-DC,10
desk,0,District of Columbia,US-DC,48
bookshelf,0,District of Columbia,US-DC,6
dining table,0,California,US-CA,12
sofa,0,California,US-CA,26
bed frame,0,California,US-CA,11
desk,0,California,US-CA,46
bookshelf,0,California,US-CA,5
dining table,0,Florida,US-FL,12
sofa,0,Florida,US-FL,28
bed frame,0,Florida,US-FL,11
desk,0,Florida,US-FL,45
bookshelf,0,Florida,US-FL,4
dining table,0,Connecticut,US-CT,12
sofa,0,Connecticut,US-CT,26
bed frame,0,Connecticut,US-CT,11
desk,0,Connecticut,US-CT,46
bookshelf,0,Connecticut,US-CT,5
dining table,0,Massachusetts,US-MA,12
sofa,0,Massachusetts,US-MA,25
bed frame,0,Massachusetts,US-MA,11
desk,0,Massachusetts,US-MA,47
bookshelf,0,Massachusetts,US-MA,5
dining table,0,Washington,US-WA,10
sofa,0,Washington,US-WA,24
bed frame,0,Washington,US-WA,13
desk,0,Washington,US-WA,47
bookshelf,0,Washington,US-WA,6
dining table,0,Georgia,US-GA,10
sofa,0,Georgia,US-GA,28
bed frame,0,Georgia,US-GA,10
desk,0,Georgia,US-GA,47
bookshelf,0,Georgia,US-GA,5
dining table,0,Maryland,US-MD,11
sofa,0,Maryland,US-MD,29
bed frame,0,Maryland,US-MD,11
desk,0,Maryland,US-MD,44
bookshelf,0,Maryland,US-MD,5
dining table,0,North Carolina,US-NC,11
sofa,0,North Carolina,US-NC,25
