seed_term,kind,query,value,formatted_value
custom furniture,top,custom furniture near me,100,100
custom furniture,top,custom furniture design,69,69
custom furniture,top,custom furniture covers,41,41
custom furniture,top,custom furniture online,31,31
custom furniture,top,custom furniture maker,25,25
custom furniture,top,custom furniture makers,19,19
custom furniture,top,hf custom furniture,3,3
custom furniture,top,custom furniture builder near me,3,3
custom furniture,rising,hf custom furniture,23750,Breakout
custom furniture,rising,custom furniture builder near me,70,+70%
custom furniture,rising,custom furniture online,50,+50%
custom cabinets,top,custom cabinets near me,100,100
custom cabinets,top,custom cabinets cost,55,55
custom cabinets,top,ikea custom cabinets,44,44
custom cabinets,top,custom cabinetry,34,34
custom cabinets,top,custom cabinets design,32,32
custom cabinets,top,semi custom cabinets,30,30
custom cabinets,top,home depot custom cabinets,29,29
custom cabinets,top,lowes custom cabinets,20,20
custom cabinets,top,custom cabinets online,20,20
custom cabinets,top,how much do custom cabinets cost,6,6
custom cabinets,top,how much are custom cabinets,6,6
custom cabinets,top,custom cabinets los angeles,5,5
custom cabinets,top,custom cabinets for kitchen near me,5,5
custom cabinets,top,discount custom cabinets,4,4
custom cabinets,top,semi custom cabinets near me,2,2
custom cabinets,top,modern edge custom cabinets,1,1
custom cabinets,rising,modern edge custom cabinets,650,+650%
custom cabinets,rising,custom cabinets for kitchen near me,120,+120%
custom cabinets,rising,semi custom cabinets near me,70,+70%
custom kitchen island,top,custom kitchen islands,100,100
custom dining table,top,custom dining tables,100,100
custom desk,top,custom desk top,100,100
custom desk,top,custom desk mat,90,90
custom desk,top,ikea custom desk,72,72
custom desk,top,custom desk pad,67,67
custom desk,top,custom desk sign,28,28
custom desk,rising,custom desk mat,170,+170%
custom desk,rising,custom desk top,60,+60%
custom desk,rising,custom desk pad,50,+50%
custom desk,rising,custom desk sign,50,+50%
custom coffee table,top,custom coffee table book,100,100
custom coffee table,top,custom coffee tables,46,46
custom bed frame,top,custom bed frames,100,100
custom vanity,top,custom vanity bathroom,100,100
custom vanity,top,custom vanity top,35,35
custom vanity,top,custom vanity cabinet,26,26
custom vanity,top,custom vanity mirror,25,25
custom vanity,top,custom vanity plate,23,23
custom vanity,top,custom vanity cabinets,16,16
custom vanity,top,custom vanity plates,15,15
custom vanity,top,custom vanity tops,12,12
custom vanity,rising,custom vanity mirror,80,+80%
custom vanity,rising,custom vanity cabinet,50,+50%
custom shelving,top,custom shelving units,100,100
custom conference table,top,custom conference tables,100,100
custom bench,top,custom bench seat,100,100
custom bench,top,custom bench cushion,82,82
custom bench,top,custom cushions,66,66
custom bench,top,bench cushions,64,64
custom bench,top,custom bench seats,19,19
custom wardrobe,top,custom closet,100,100
custom wardrobe,top,ikea custom wardrobe,78,78
custom wardrobe,top,ikea wardrobe,78,78
custom wardrobe,top,ikea,78,78
custom wardrobe,top,custom wardrobe doors,38,38
custom wardrobe,top,custom wardrobe cabinet,37,37
custom wardrobe,top,custom cabinet,36,36
custom wardrobe,top,custom wardrobe design,35,35
custom wardrobe,top,custom wardrobe closets,26,26
custom wardrobe,top,custom made wardrobe,23,23
custom wardrobe,top,custom wardrobe cabinets,22,22
custom sofa,top,custom sofa covers,100,100
custom sofa,top,custom sofa cushions,60,60
custom sofa,top,custom sofas,36,36
custom outdoor furniture,top,custom outdoor furniture covers,100,100
custom mantel,top,custom mantel shelf,100,100
custom mantel,top,custom mantels,71,71
custom bar,top,custom bars,100,100
custom bar,top,custom bar sign,82,82
custom bar,top,custom bar cabinet,78,78
custom bar,top,custom bar necklace,77,77
custom bar,top,custom bar signs,66,66
custom bar,top,custom bar stools,56,56
custom bar,top,custom bar mat,43,43
custom bar,rising,custom bar mat,170,+170%
custom bar,rising,custom bar cabinet,90,+90%
custom bar,rising,custom bar sign,50,+50%
custom dining chair,top,custom dining chairs,100,100
custom chair,top,custom chairs,100,100
custom chair,top,custom chair covers,82,82
custom chair,top,custom chair cushions,58,58
custom stool,top,custom stools,100,100
